LossAfter,IRLMedianLogQtau,ExplainedVariance,IRLLoss,ItrTime,NumTrajs,AverageDiscountedReturn,LossBefore,AveragePolicyStd,IRLAverageExpertEnergy,IRLAverageEnergy,Time,MeanKLBefore,EnvExecTime,AverageReturn,Iteration,MaxReturn,OriginalTaskAverageReturn,IRLRewardMean,IRLRewardMax,Entropy,dLoss,Perplexity,IRLMedianExpertLogQtau,IRLAverageExpertLogQtau,PolicyExecTime,IRLRewardMin,MeanKL,StdReturn,IRLAverageLogQtau,MinReturn,ProcessExecTime
-0.16118991374969482,-1.1251507,5.927036639263861e-12,0.66368383,1.4529600143432617,10,-127.37816870073038,-0.14189386367797852,1.0,0.62901,2.046547,1.4529383182525635,0.0,0.03163623809814453,-204.6546845383942,0,-134.3282116651535,-625.1087825826362,-2.046547,0.028921116,1.4189383,0.01929605007171631,4.1327305,-1.2129536,-1.8025854,0.054737091064453125,-6.177717,0.00973951630294323,43.51457785976855,-1.4231626,-254.93044155836105,0.0054891109466552734
-0.14269335567951202,-1.1375465,0.8214495907635793,0.4285273,0.651587963104248,10,-187.16249635974773,-0.1418258398771286,0.99932015,0.34431845,2.9677916,2.111935615539551,0.0,0.03264784812927246,-296.77915064692496,1,-242.28056681156158,-583.4745494919691,-2.9677916,0.6842729,1.4182585,0.0008675158023834229,4.129922,-1.2263104,-1.821155,0.04044771194458008,-6.976779,0.005523692350834608,33.205451771843386,-1.4065915,-339.09541445970535,0.005800008773803711
-0.16312922537326813,-1.1627972,0.9116992278305944,0.35149494,0.6730594635009766,10,-217.0313357823473,-0.14180923998355865,0.9991543,0.024881465,3.3990233,2.7966010570526123,0.0,0.031676292419433594,-339.9023177057505,2,-303.16392493247986,-623.2973597964516,-3.3990233,1.230709,1.4180925,0.021319985389709473,4.129236,-1.2296879,-1.8302567,0.04233431816101074,-8.448892,0.009720579721033573,30.554110448516695,-1.4392912,-382.0134766548872,0.0061299800872802734
-0.15807797014713287,-1.1391661,0.9482019440005176,0.26083004,0.6365044116973877,10,-232.25408976669047,-0.1422116756439209,1.0031832,-0.67405325,3.650986,3.442929983139038,0.0,0.03193235397338867,-365.0985728725791,3,-280.4717794805765,-652.2322309326021,-3.650986,1.8995705,1.4221168,0.015866294503211975,4.145887,-1.2244816,-1.7994583,0.044816017150878906,-6.9783716,0.009179004468023777,32.63096058241409,-1.3904414,-390.01899695396423,0.00544285774230957
-0.15603813529014587,-1.1422943,0.8584068896068603,0.3106382,0.6720094680786133,10,-206.62820556262713,-0.14229607582092285,1.0040302,-0.3389382,3.2447495,4.122473955154419,0.0,0.03475499153137207,-324.4749639771879,4,-174.34733593463898,-686.7294447480447,-3.2447495,1.329857,1.4229605,0.013742059469223022,4.1493864,-1.2361808,-1.8314114,0.04623532295227051,-5.8497233,0.007284448482096195,88.02869930148866,-1.3773543,-409.5042836666107,0.005633354187011719
-0.15566132962703705,-1.0965405,0.831616465896668,0.2912006,0.694178581237793,10,-212.94926250800944,-0.13938923180103302,0.97526467,-0.22070797,3.3653326,4.824157238006592,0.0,0.03578495979309082,-336.53324208632114,5,-108.65742791444063,-652.6988754684229,-3.3653326,1.731023,1.393892,0.01627209782600403,4.0305066,-1.2408644,-1.8723352,0.04474210739135742,-6.655569,0.007211672142148018,98.58093708677484,-1.3940737,-440.90423822402954,0.006050586700439453
-0.1574058085680008,-1.0969373,0.8793498680338697,0.27224067,0.689483642578125,10,-214.90504139944497,-0.13819065690040588,0.9636457,-0.5757871,3.3827333,5.521291732788086,0.0,0.032109975814819336,-338.2733152166009,6,-214.70685622096062,-592.4599120041613,-3.3827333,2.1691937,1.3819066,0.01921515166759491,3.9824874,-1.2496419,-1.8975871,0.044655799865722656,-6.801973,0.008559090085327625,66.97566133888097,-1.3874148,-445.3479504585266,0.00544285774230957
-0.15646260976791382,-1.103244,0.9463643692628905,0.27527574,0.6647560596466064,10,-211.58321180037223,-0.13978132605552673,0.9790963,-0.5075491,3.2938342,6.193821430206299,0.0,0.03369903564453125,-329.38341612815856,7,-169.16040559113026,-582.5045879951285,-3.2938342,2.17861,1.3978136,0.016681283712387085,4.0463433,-1.3434494,-1.9984518,0.043814659118652344,-6.621896,0.007620072457939386,76.0564823342703,-1.3843095,-431.62270951271057,0.005740165710449219
-0.1526687890291214,-1.1024743,0.9594435300921732,0.34586278,0.6459834575653076,10,-196.44712179834923,-0.1382962316274643,0.9646632,-0.051631205,3.1073754,6.849888563156128,0.0,0.0315399169921875,-310.7375455722213,8,-240.7257232517004,-475.0934895297777,-3.1073754,1.6749728,1.3829619,0.014372557401657104,3.9866922,-1.2322378,-1.8432511,0.04354119300842285,-7.515197,0.006494614295661449,47.461305344911125,-1.3833191,-385.7373962402344,0.005305767059326172
-0.14845877885818481,-1.1066856,0.9334333264326684,0.30230144,0.655421257019043,10,-218.65416200883888,-0.13649982213974,0.9474887,-0.50254095,3.3899028,7.513241529464722,0.0,0.03339099884033203,-338.9902683645487,9,-201.61901023983955,-596.3868155876194,-3.3899028,2.2775362,1.3649981,0.011958956718444824,3.9157157,-1.2220838,-1.8486464,0.044265031814575195,-7.2746873,0.009755030274391174,69.07015105610186,-1.3484435,-432.83374643325806,0.0058135986328125
-0.1564500331878662,-1.0640045,0.9171318204931427,0.25057265,0.6380348205566406,10,-219.47910435710122,-0.13418474793434143,0.92580533,-1.0262486,3.3896782,8.168065309524536,0.0,0.03192639350891113,-338.9678210616112,10,-157.02779600024223,-628.593931212892,-3.3896782,2.5885568,1.3418472,0.02226528525352478,3.8261044,-1.1873794,-1.8158164,0.03997182846069336,-6.9181113,0.009015200659632683,89.90260974007822,-1.3507162,-475.3711967468262,0.005413532257080078
