dLoss,AverageDiscountedReturn,Iteration,Perplexity,MaxReturn,EnvExecTime,IRLLoss,AveragePolicyStd,AbsLearnSignal,ExplainedVariance,ItrTime,MeanKL,ProcessExecTime,MinReturn,MeanKLBefore,LossBefore,LossAfter,AverageReturn,Time,NumTrajs,OriginalTaskAverageReturn,StdReturn,PolicyExecTime,Entropy
0.023119269,-169.26868850997508,0,17.07946,-63.8798633813858,208.47370028495789,0.65412635,1.0,0.9230319177310227,3.7914116290949096e-13,215.6418159008026,0.009306158,0.0219266414642334,-1468.6942690610886,0.0,5.710625e-09,-0.023119263,-429.8905072559913,215.64181542396545,9,8.19063516944298,528.6206915505808,1.1081950664520264,2.8378766
0.028188638,-174.48180087730776,1,16.92766,-72.2332518696785,236.2362356185913,0.2514905,0.99558026,0.674869791836535,-0.29224258759698474,242.47068119049072,0.008577506,0.02298259735107422,-1507.5803372859955,0.0,5.5232103e-09,-0.028188633,-327.1334726927587,458.1162796020508,13,8.46868257728516,359.5312109780468,1.024958610534668,2.828949
0.02055053,-526.8997271437705,2,16.949993,-271.9064600840211,193.4699912071228,0.11458993,0.99623734,0.8553707846322071,0.3251551096164039,199.71420097351074,0.009500011,0.022757768630981445,-3434.604133784771,0.0,7.3856676e-09,-0.020550523,-1750.2491434827448,657.8345859050751,5,17.976657235948046,1347.2493059535504,0.9765548706054688,2.8302674
0.006879102,-355.5384853612294,3,16.658443,-149.42272090911865,213.7602138519287,0.07189946,0.9878305,0.8388993202885942,-0.6240224937184122,219.9597306251526,0.007103074,0.02247786521911621,-3622.127006292343,0.0,4.72116e-09,-0.0068790973,-911.8619077920914,877.798098564148,10,7.433059344135953,1199.2912168419286,0.9956574440002441,2.8129172
0.021304054,-506.3116268693907,4,16.622488,-330.9290209412575,206.18762755393982,0.09065999,0.9867022,0.7804623982207491,-3.6140150586545445,212.42542028427124,0.007825902,0.024082660675048828,-3298.061807692051,0.0,6.9232255e-09,-0.021304047,-1576.595830236872,1090.2275755405426,6,15.329663569656832,1221.8147084354314,1.0486993789672852,2.8107564
0.019365488,-376.2571582744953,5,16.608416,-186.18640768527985,232.03467082977295,0.334639,0.9862938,0.8667901283451236,-6.378635925894555,238.4017357826233,0.006564463,0.024700403213500977,-3934.8334372341633,0.0,5.2592335e-09,-0.019365482,-808.0657786986452,1328.633320093155,11,13.80018524927014,1021.258631614134,1.0485148429870605,2.8099096
0.022658426,-500.46366927589344,6,16.665117,-8.526895701885223,208.81034755706787,0.09849442,0.98798674,0.8482556260601606,-0.970662701611793,215.02128386497498,0.009227358,0.022942781448364258,-4322.763448238373,0.0,-9.349749e-10,-0.022658428,-1140.2938239522691,1543.6583797931671,9,11.105918194430487,1214.1059480115678,0.97304368019104,2.8133178
0.016386436,-400.1212077783918,7,16.09657,-181.59058651328087,240.02468037605286,0.14140485,0.9715318,0.7841845808478317,-10.623835557592454,246.39159107208252,0.009064581,0.027016878128051758,-3150.755993247032,0.0,-7.722059e-09,-0.016386444,-1199.6045062055346,1790.056006193161,8,17.323583877899885,1142.6578530488039,1.167027473449707,2.7786062
0.027526628,-804.2384645227849,8,15.60758,-229.3695323355496,209.3524580001831,0.096089944,0.95638955,0.7708763654366197,0.08403262487109231,215.6505651473999,0.0053911526,0.02415776252746582,-5152.938192129135,0.0,-0.0,-0.027526628,-2626.592668496693,2005.7110438346863,6,15.362631751120185,2142.404541825313,1.0584685802459717,2.7477567
0.014946308,-642.1249967648579,9,15.694154,-664.9571245238185,192.75018858909607,0.09702857,0.9591277,0.8250973025902151,-2.292255170483518,198.97099232673645,0.007022164,0.022594928741455078,-5116.330571427941,0.0,7.3713955e-09,-0.014946301,-1970.9776934095657,2204.689387321472,5,26.462390747810087,1627.623917313771,0.97117018699646,2.7532883
0.018633245,-470.37283129715274,10,15.622003,-367.2073965668678,235.50364589691162,0.09543634,0.9569545,0.8551164533060529,-0.056139789275256646,241.76533961296082,0.009219168,0.023415088653564453,-5033.66900524497,0.0,3.6434549e-09,-0.01863324,-930.0784293599427,2446.4616899490356,13,8.12045078063123,1198.6335947164187,1.0561892986297607,2.7486804
0.025780305,-559.252730570188,11,15.536705,-320.020802333951,213.36100244522095,0.11338732,0.95408386,0.7463325173061548,0.48108128578831866,219.5805938243866,0.009709975,0.022468090057373047,-5049.938256770372,0.0,1.3728517e-08,-0.025780292,-1475.2287442822837,2666.046909093857,9,10.076247248759046,1821.40944550538,1.019744634628296,2.7432053
0.014982102,-562.1440974130629,12,15.179606,-185.56541314232163,230.4232316017151,0.09365,0.9428414,0.8467951581176246,-1.7542786226895855,236.65552592277527,0.0072064754,0.023359298706054688,-5196.463631749153,0.0,-1.0961774e-08,-0.014982114,-1102.7024857728393,2902.7091450691223,12,8.562073785498185,1256.9090016262626,1.021648645401001,2.7199528
0.018585967,-728.3833765910703,13,15.142808,-139.00996177643538,209.36990451812744,0.12107252,0.94162136,0.718136152851411,-0.12350626408467336,215.66234922409058,0.007650858,0.023924589157104492,-5093.681756079197,0.0,7.0577193e-09,-0.01858596,-2171.9678376016673,3118.375618457794,6,37.87996529095317,2085.198824342216,1.0800933837890625,2.7175257
0.01969186,-880.287870198983,14,15.070411,-304.6496692225337,239.96518683433533,0.059060525,0.9393462,0.8011157711445092,0.07048492605062884,246.37347388267517,0.00893873,0.02693772315979004,-5278.808117032051,0.0,-1.5357075e-09,-0.019691862,-2445.690120520536,3364.7533342838287,8,13.712830127753582,2172.1437523974064,1.1905951499938965,2.7127333
