id,episode,action_level,action_y,action_x,action_z,action_w,reward,done,                      timestamp,collision_status,vehicle_pos_x,vehicle_pos_y,vehicle_pos_z,pitch,roll,yaw,vehicle_vel_x,vehicle_vel_y,                      vehicle_vel_z,pitch_vel,roll_vel,yaw_vel,vehicle_acc_x,vehicle_acc_y,vehicle_acc_z,pitch_acc,roll_acc,yaw_acc
0,0,1,-0.6093080043792725,0.012954890727996826,0.75,0.0,0.10204957256368091,0.0,1543723112075404544,0,1.6177151203155518,4.585944652557373,-5.946146011352539,0.002777409344840441,-0.09966018051156991,0.003621856160157306,0.06522578001022339,0.09336812049150467,0.1841229945421219,-0.120597243309021,-0.00643922621384263,-0.00010635864600772038,-0.024062253534793854,-0.9836080074310303,-0.0695486068725586,9.264374732971191,0.056596022099256516,0.0003290422901045531
1,0,1,-0.7277179956436157,0.012954890727996826,0.75,0.0,0.10259379950915364,0.0,1543723112273408768,0,1.6302803754806519,4.586058139801025,-5.884026050567627,0.002136288512037765,-0.11803386403783601,0.003677774272119762,0.0617307685315609,-0.10847724974155426,0.3548714220523834,0.04168453812599182,-0.0019157167989760637,-5.330198837327771e-05,-0.01725226826965809,-1.2007150650024414,-0.30867958068847656,0.33789941668510437,0.005694723222404718,0.00021447299513965845
2,0,1,-0.7311360239982605,0.012954890727996826,0.75,0.0,0.10348489406264201,0.0,1543723112447412480,0,1.6408120393753052,4.552041053771973,-5.803855895996094,0.0018735594728609114,-0.10976240437184698,0.00370133882721948,0.059258267283439636,-0.2891887426376343,0.4891182780265808,0.06539148092269897,-0.0013486013049259782,-2.6270479793311097e-05,-0.015107352286577225,-1.1344351768493652,-0.47550392150878906,0.2538469433784485,0.0013882997445762157,0.00011012439063051715
3,0,1,-0.8626077771186829,-0.3378804922103882,0.75,0.0,0.1048269761630708,0.0,1543723112630416384,0,1.6483489274978638,4.482235431671143,-5.697718143463135,0.05128555347743202,-0.11694390280271928,-0.001950533754079642,0.004169034771621227,-0.4859176576137543,0.5884020328521729,0.04423582926392555,0.08202215284109116,0.00032304925844073296,-0.5360317230224609,-1.2272202968597412,-0.6415958404541016,1.7995882034301758,-1.7265026569366455,-0.0015841112472116947
4,0,1,-0.8933394551277161,-0.3662012815475464,0.75,0.0,0.10654217926926776,0.0,1543723112810420224,0,1.6410325765609741,4.3778839111328125,-5.578505992889404,0.05781329042369699,-0.11102665259257447,-0.0026726704386827553,-0.09165215492248535,-0.6802898645401001,0.6633471846580505,0.05954686179757118,-0.013824520632624626,0.00015874652308411896,-0.6153051257133484,-1.1768205165863037,-0.764439582824707,0.6564019322395325,-0.25368592143058777,-0.0005416536005213857
5,0,1,-0.8953230977058411,-0.3662012815475464,0.75,0.0,0.10864613245483275,0.0,1543723112990424064,0,1.6161081790924072,4.23951530456543,-5.448122024536133,0.05331578704074831,-0.10016247862414918,-0.0021756061780315674,-0.18805332481861115,-0.861619770526886,0.7118642926216125,0.06522175669670105,-0.03315252810716629,9.887204214464873e-05,-0.5748571753501892,-1.0731416940689087,-0.907374382019043,0.13515397906303406,-0.028926411643624306,-0.0001798884040908888
6,0,1,-0.8953230977058411,-0.38808274269104004,0.75,0.0,0.11136860518747307,0.0,1543723113188428288,0,1.5692176818847656,4.051388263702393,-5.297757625579834,0.050211132442102235,-0.08825279859584602,-0.0018714180815175036,-0.2891213297843933,-1.0426253080368042,0.7222304344177246,0.061182692646980286,-0.02868795208632946,6.0100326663814485e-05,-0.5474429726600647,-0.9540249705314636,-1.0461645126342773,-0.026257062330842018,-0.11909186840057373,-6.829678022768348e-05
7,0,1,-0.8923323154449463,-0.4266880750656128,0.75,0.0,0.11422547901568764,0.0,1543723113371432192,0,1.508375644683838,3.8475019931793213,-5.157048225402832,0.05048021529048617,-0.07788559485165374,-0.0018930989342049898,-0.3800998330116272,-1.1888684034347534,0.7373433709144592,0.05510410666465759,-0.021045470610260963,3.053057662327774e-05,-0.5493783354759216,-0.8379232883453369,-1.0440855026245117,-0.0060475049540400505,-0.19893047213554382,-9.651531399867963e-06
8,0,1,-0.880552351474762,-0.44014644622802734,0.75,0.0,0.1173660757108617,0.0,1543723113551436032,0,1.4324246644973755,3.6224582195281982,-5.016324043273926,0.047685078682458075,-0.06739905255352938,-0.0016889495981471895,-0.4668547213077545,-1.3139349222183228,0.7486237287521362,0.051135413348674774,-0.02686738222837448,2.6356610760558397e-05,-0.5200669765472412,-0.7236632108688354,-1.080902099609375,-0.13833840191364288,-0.07367905974388123,2.7548459911486134e-05
9,0,1,-0.8343786001205444,-0.4426490068435669,0.75,0.0,0.12081661900284443,0.0,1543723113731439872,0,1.3413711786270142,3.376737594604492,-4.874577522277832,0.043048842180388985,-0.05277642821923366,-0.0014087781045731328,-0.5470202565193176,-1.416243076324463,0.7475902438163757,0.05338701978325844,-0.02902107499539852,3.7151898141019046e-05,-0.47114241123199463,-0.565201461315155,-1.139801025390625,-0.6573079228401184,-0.014201180078089237,4.827835709875217e-06
10,0,1,-0.7894560098648071,-0.4446021318435669,0.75,0.0,0.12452852127394451,0.0,1543723113911443712,0,1.2365669012069702,3.114753484725952,-4.73417854309082,0.03844658767228929,-0.03901827263857596,-0.0011937482273207084,-0.6189234256744385,-1.4933384656906128,0.7419970035552979,0.04761321842670441,-0.026887115091085434,4.081552833667956e-05,-0.4195381700992584,-0.41239967942237854,-1.1338386535644531,-0.7250872850418091,-0.0013176219072192907,-3.449944415478967e-05
