IRLMedianExpertLogQtau,AveragePolicyStd,PolicyExecTime,IRLRewardMin,StdReturn,Time,Iteration,IRLAverageExpertEnergy,dLoss,MeanKL,Entropy,IRLAverageExpertLogQtau,MinReturn,IRLMedianLogQtau,IRLAverageEnergy,IRLLoss,IRLAverageLogQtau,Perplexity,ItrTime,MaxReturn,IRLRewardMean,OriginalTaskAverageReturn,AverageDiscountedReturn,NumTrajs,LossAfter,ExplainedVariance,MeanKLBefore,LossBefore,EnvExecTime,ProcessExecTime,IRLRewardMax,AverageReturn
-1.1123704,1.0,0.056911468505859375,-6.9256663,74.6860020587673,1.0468509197235107,0,0.21726573,0.012552335858345032,0.006256445311009884,1.4189383,-1.5527864,-442.4140435233712,-1.1577408,3.4705648,0.4079328,-1.4154551,4.1327305,1.0468721389770508,-206.8876233175397,-3.4705648,-625.5929174695481,-207.5831531072357,10,-0.15444619953632355,1.9899637493381306e-12,0.0,-0.14189386367797852,0.03226494789123535,0.005533933639526367,0.38610202,-347.0564974419773
-1.1443379,1.0124694,0.03950977325439453,-8.076503,93.2871276704951,1.2834272384643555,1,-0.20474105,0.015595600008964539,0.006022224202752113,1.431331,-1.5935513,-528.8035174310207,-1.1675503,3.795212,0.34012315,-1.4292092,4.184265,0.2301011085510254,-230.83127582073212,-3.795212,-664.3442098834572,-229.3125216385437,10,-0.158728688955307,0.901753507455257,0.0,-0.14313308894634247,0.032464027404785156,0.0057010650634765625,0.9719912,-379.521191726625
-1.1751741,1.019242,0.04714393615722656,-8.463681,35.713056885965926,1.5347027778625488,2,-0.80269915,0.009276896715164185,0.005134365521371365,1.4379977,-1.6337385,-483.0986374206841,-1.19732,3.7918785,0.30254942,-1.4756353,4.212253,0.24232029914855957,-351.30282521247864,-3.7918785,-708.7934334912331,-236.5787875058814,10,-0.1530766636133194,0.8577971723523039,0.0,-0.1437997668981552,0.03526735305786133,0.006042003631591797,1.829107,-379.1878563337028
-1.1257834,1.0078623,0.04361772537231445,-7.8047094,38.81735472877392,1.7796952724456787,3,-0.75876683,0.017400145530700684,0.006220617331564426,1.42677,-1.5683737,-441.1832351088524,-1.1334636,3.7972271,0.26855385,-1.4228344,4.1652236,0.2367243766784668,-342.2578113079071,-3.7972271,-664.8203507960887,-234.8458785479019,10,-0.16007716953754425,0.9345951679458717,0.0,-0.14267702400684357,0.034592628479003906,0.005776166915893555,1.9428502,-379.7227020319551
-1.1576519,1.0304583,0.04375600814819336,-6.7512336,53.40915359398961,2.0454723834991455,4,-1.1592733,0.012819409370422363,0.009867320768535137,1.4489422,-1.5917281,-429.9929168224335,-1.1752867,3.6676254,0.24918061,-1.4317878,4.2586074,0.2574269771575928,-288.6924822591245,-3.6676254,-674.9665396148848,-225.52758907543117,10,-0.1577136516571045,0.927324296721655,0.0,-0.14489424228668213,0.03497147560119629,0.005866050720214844,1.8170875,-366.7625223323703
-1.1553617,1.0374918,0.04139089584350586,-7.439696,31.178947933588166,2.289987325668335,5,-0.70762634,0.013864383101463318,0.0064903381280601025,1.4557444,-1.5853455,-414.0949170589447,-1.1836214,3.7632244,0.28376207,-1.4415905,4.287674,0.2373199462890625,-325.2089149951935,-3.7632244,-595.9408183857236,-230.05679699082293,10,-0.1594388484954834,0.9433390899482967,0.0,-0.14557446539402008,0.032564640045166016,0.0054399967193603516,1.8655369,-376.3224507376552
-1.2008643,1.0482597,0.04316592216491699,-7.9733534,35.948916994205916,2.5353734493255615,6,-0.6938556,0.019451558589935303,0.007934071123600006,1.46607,-1.6387928,-434.5436851978302,-1.2155809,3.794139,0.26681834,-1.5112978,4.332176,0.23784136772155762,-321.4986384510994,-3.794139,-556.441199520308,-232.63729763538012,10,-0.16605855524539948,0.9596288271937058,0.0,-0.14660699665546417,0.03470778465270996,0.005806922912597656,1.5532726,-379.4138853564858
-1.2474343,1.0653238,0.04488563537597656,-7.999643,30.36445838882466,2.7908196449279785,7,-1.0773824,0.004678621888160706,0.009893545880913734,1.4822177,-1.685518,-420.4946451485157,-1.2141963,3.7654443,0.24880098,-1.4840006,4.4026985,0.24806785583496094,-300.43808138370514,-3.7654443,-621.9822849813904,-235.63460599457872,10,-0.15290039777755737,0.8910929619642787,0.0,-0.14822177588939667,0.035491228103637695,0.005875349044799805,2.589466,-376.5444286033511
-1.1572459,1.002878,0.046062469482421875,-6.217643,46.81161421581758,3.1170008182525635,8,-0.98838663,0.012324854731559753,0.005912835244089365,1.4218123,-1.6459361,-413.4254004955292,-1.1323743,3.4013896,0.24111058,-1.3897842,4.1446247,0.3062276840209961,-255.92511247098446,-3.4013896,-622.8798461719365,-216.66627552585865,10,-0.15450607240200043,0.8655498496951295,0.0,-0.14218121767044067,0.08174943923950195,0.006984233856201172,2.1676447,-340.13895398676397
-1.1590033,1.0026653,0.04215526580810547,-7.256163,52.96941958156913,3.3646299839019775,9,-1.0930074,0.01431882381439209,0.008259638212621212,1.4216002,-1.6549598,-444.2487714290619,-1.1461155,3.75607,0.22001688,-1.4324546,4.143746,0.24027061462402344,-261.29672876000404,-3.75607,-597.7673192067432,-238.02959538688273,10,-0.1564788520336151,0.9192165082672044,0.0,-0.14216002821922302,0.031870365142822266,0.00570368766784668,1.7111521,-375.6069808334112
