MeanKL,AbsLearnSignal,dLoss,Perplexity,OriginalTaskAverageReturn,Entropy,StdReturn,LossBefore,ExplainedVariance,AverageDiscountedReturn,AveragePolicyStd,EnvExecTime,PolicyExecTime,ItrTime,MaxReturn,LossAfter,ProcessExecTime,MinReturn,Time,Iteration,IRLLoss,AverageReturn,NumTrajs,MeanKLBefore
0.007166805,0.7866681699299256,0.026868572,17.079468,10.290346018571356,2.837877,49.62109738614458,-0.0,8.408274076998623e-12,-78.95345511451703,1.0,335.12965083122253,1.3786866664886475,342.3975319862366,-40.27624573477078,-0.026868572,0.0285189151763916,-208.29113173484802,342.39752650260925,0,1.4719942,-108.07480886060235,21,0.0
0.008552285,0.8490569050607716,0.02671611,17.570925,8.739795973917243,2.8662455,106.11435772207057,9.184665e-09,0.605366614128542,-152.5667513062919,1.0143741,347.1796054840088,2.0789265632629395,354.6705515384674,-56.34584901528433,-0.0267161,0.031525373458862305,-380.03005063533783,697.0719497203827,1,0.31504238,-214.9199170555609,21,0.0
0.008438823,0.7123824227399801,0.0210658,18.188322,9.433390663742102,2.9007797,136.89855588644858,6.1084022e-09,0.7794757928280398,-149.65401507849194,1.0320109,350.3130404949188,1.66951322555542,357.3754913806915,-16.840973019599915,-0.021065794,0.03145265579223633,-573.7891068458557,1054.453047990799,2,0.33854878,-213.90328364459458,22,0.0
0.009540231,0.7830176223986567,0.031123286,18.790865,9.97449497882695,2.9333708,127.29005367435026,6.2229972e-09,0.7879583034062815,-160.48873023727825,1.0493482,333.1761784553528,1.249147653579712,339.71794962882996,-58.18993954360485,-0.03112328,0.029433488845825195,-444.0251920223236,1394.1757981777191,3,0.323752,-229.94556604423337,21,0.0
0.006465345,0.7095366813246423,0.024241092,19.12967,10.816385857397476,2.9512405,109.73990825969854,-3.1165828e-09,0.0736065770518457,-139.78101739770923,1.0583256,334.43220925331116,1.2932610511779785,341.0391273498535,-29.28909835172817,-0.024241095,0.029881715774536133,-459.0338394641876,1735.2193279266357,4,0.3612288,-202.71089180365726,21,0.0
0.009653881,0.7335900217087834,0.027463183,18.327272,10.119043097317924,2.9083903,141.5798487305098,-1.6933685e-08,0.6737067891262497,-187.9426821136742,1.0359612,329.8620080947876,1.296222448348999,336.3647518157959,-42.98831388732651,-0.0274632,0.030183076858520508,-558.5364282727242,2071.5880982875824,5,0.31235555,-270.28416481694217,21,0.0
0.009309649,0.5596854055936955,0.024297656,18.784746,10.01150865417607,2.9330451,148.19101824197776,-0.0,-0.15482576064231512,-192.51086645135368,1.04885,313.4329023361206,1.276305913925171,319.94785356521606,-45.9022571395617,-0.024297656,0.03015613555908203,-584.3375580310822,2391.540633201599,6,0.2994747,-273.84348258935813,21,0.0
0.00947375,0.6244026763734886,0.026507504,19.759134,11.582347116965822,2.9836159,152.06431847129508,-0.0,0.44991761559994525,-177.41625061539216,1.0756073,311.72045636177063,1.2555065155029297,318.26460433006287,-71.93742526322603,-0.026507504,0.029183626174926758,-517.1674290895462,2709.809109687805,7,0.35822028,-248.96062233117186,21,0.0
0.008707549,0.7779619465569464,0.02794316,20.096357,11.556671347266976,3.0005386,163.951833228758,9.4892965e-09,0.6982439605866224,-182.37432472027416,1.084805,309.935861825943,1.234410047531128,316.43539595603943,-56.737246721982956,-0.027943151,0.028929948806762695,-601.2544370293617,3026.2485222816467,8,0.3583115,-260.89798911689735,21,0.0
0.0066740313,0.8217491059651753,0.025705848,19.6288,11.293592404165732,2.9769979,143.82674535048162,6.357829e-09,0.6801321874039578,-181.4665385276982,1.0725232,309.4175214767456,1.2657530307769775,315.8825559616089,-60.25359946865501,-0.025705842,0.028803586959838867,-573.0050455331802,3342.135102033615,9,0.3195468,-257.74305008411847,21,0.0
0.009478164,0.8099564593844483,0.033416696,18.650772,12.231541915160278,2.9258876,106.54259505256502,-6.3209566e-09,0.6314997391847813,-182.42043352333135,1.045274,312.2260935306549,1.261040449142456,318.7772228717804,-130.02440636605024,-0.033416703,0.0291290283203125,-508.22246301174164,3660.9161314964294,10,0.35918346,-258.32850219814907,21,0.0
0.008592006,0.7072310563219897,0.025710462,18.200151,11.474461274122389,2.90143,140.35411091091802,-0.0,0.7260614066060072,-214.584516885466,1.0329509,314.6962070465088,1.2635414600372314,321.24138593673706,-25.823369026184082,-0.025710462,0.029242277145385742,-610.2845370769501,3982.1615450382233,11,0.32455808,-294.3100467124869,22,0.0
0.0076744203,0.5955347839096705,0.025307478,18.169502,13.042691692855144,2.8997445,190.03297654318087,-1.8807054e-08,0.4195389228244323,-193.8958967116891,1.0320953,310.73461747169495,1.2613029479980469,317.27696657180786,-52.059686958789825,-0.025307497,0.028463125228881836,-868.8848556131124,4299.4426963329315,12,0.4774151,-270.37254380017873,21,0.0
0.008861035,0.7616141382149749,0.027875325,18.31813,11.977970975816781,2.9078913,137.82189522066616,-6.2331655e-09,0.5227442388102507,-156.59693124750171,1.0363023,318.5530469417572,1.2766952514648438,325.13826417922974,-41.34678469412029,-0.02787533,0.029150962829589844,-439.90294444561005,4624.584992647171,13,0.35606572,-219.35762459014288,22,0.0
0.009632514,0.7244207483976322,0.03168911,18.724283,12.332201993570637,2.9298213,161.08032419104254,-6.34725e-09,0.6216890989314405,-189.110171593348,1.0480515,310.12366127967834,1.236908197402954,316.5736813545227,-97.72845295071602,-0.03168912,0.028760671615600586,-740.2751339673996,4941.162442207336,14,0.29042444,-271.64848821858567,21,0.0
