NumTrajs,IRLAverageEnergy,IRLRewardMean,OriginalTaskAverageReturn,Perplexity,EnvExecTime,AveragePolicyStd,IRLRewardMin,AverageDiscountedReturn,ExplainedVariance,IRLMedianExpertLogQtau,LossAfter,StdReturn,IRLMedianLogQtau,MeanKL,Iteration,AverageReturn,ItrTime,LossBefore,IRLAverageLogQtau,MaxReturn,IRLRewardMax,IRLAverageExpertEnergy,PolicyExecTime,IRLLoss,IRLAverageExpertLogQtau,Time,Entropy,dLoss,MeanKLBefore,ProcessExecTime,MinReturn
10,2.536819,-2.536819,-627.6171327100105,4.1327305,0.031942129135131836,1.0,-6.5310416,-158.1263355526389,3.4255931424809205e-12,-1.1424189,-0.1648564636707306,68.66615346892992,-1.1471207,0.006777941714972258,0,-253.68191306255758,1.0041711330413818,-0.14189386367797852,-1.4262521,-149.61003416776657,0.067200825,0.46293506,0.050840139389038086,0.5785398,-1.6888406,1.0041677951812744,1.4189383,0.022962599992752075,0.0,0.0051844120025634766,-348.85569163411856
10,3.6255128,-3.6255128,-608.4224678652351,4.3207145,0.03555417060852051,1.0454863,-9.714838,-226.766914541356,0.7609100297176448,-1.2098346,-0.162028968334198,88.76903787390015,-1.198299,0.006053527817130089,1,-362.55130059942604,0.22210168838500977,-0.14634203910827637,-1.4941646,-239.4428470134735,0.5544564,0.22443366,0.0458981990814209,0.39480078,-1.7297137,1.2327604293823242,1.4634207,0.01568692922592163,0.0,0.005784273147583008,-491.80312144756317
10,3.3284707,-3.3284707,-562.3158931888476,4.335284,0.03605341911315918,1.049012,-8.175013,-206.56516967312805,0.8627390842031135,-1.2125409,-0.15828248858451843,33.08853873466761,-1.1839569,0.0056684305891394615,2,-332.84707870483396,0.2375657558441162,-0.14667870104312897,-1.4568337,-268.807443857193,0.9616788,0.12007704,0.04726815223693848,0.38840917,-1.7435963,1.4789862632751465,1.4667872,0.011603787541389465,0.0,0.005692958831787109,-377.03574994951487
10,3.0576441,-3.0576441,-542.3496067241146,4.332378,0.033702850341796875,1.0483091,-7.5074043,-193.53194869646669,0.8618620475251328,-1.1744097,-0.1578790694475174,32.45720111837787,-1.1982143,0.00627059256657958,3,-305.76440178453925,0.2198185920715332,-0.14661166071891785,-1.4332931,-212.70405688509345,1.2565906,-0.20366777,0.04140615463256836,0.35556954,-1.7055829,1.7064828872680664,1.4661165,0.011267408728599548,0.0,0.00561213493347168,-333.5567186176777
10,3.5457273,-3.5457273,-600.2725221413809,4.353629,0.0320582389831543,1.0534507,-8.073047,-223.02071865438887,0.9442169334009044,-1.1707699,-0.14766480028629303,27.683046261456926,-1.2155995,0.009509600698947906,4,-354.57272116243837,0.21757841110229492,-0.14710095524787903,-1.4540181,-292.1449724212289,0.93676543,-0.36201444,0.04217219352722168,0.2859054,-1.7092555,1.9360504150390625,1.4710097,0.0005638450384140015,0.0,0.005614519119262695,-383.4813519716263
10,3.7578506,-3.7578506,-681.5755874898257,4.347891,0.03434038162231445,1.0520623,-7.6657305,-237.30828766086347,0.873721296302198,-1.1821203,-0.15794190764427185,66.31814517027453,-1.1756928,0.006238030735403299,5,-375.785071875155,0.2122025489807129,-0.14696907997131348,-1.4452802,-259.5226621180773,1.3407663,-0.8827516,0.04346752166748047,0.23278026,-1.7527418,2.1558549404144287,1.4696909,0.010972827672958374,0.0,0.005522489547729492,-438.71692085266113
10,3.7892916,-3.7892916,-574.7798932538533,4.2795525,0.03658938407897949,1.0355264,-8.603297,-237.06068609381754,0.9384944338780132,-1.1524765,-0.16073769330978394,60.92116725042851,-1.1739254,0.007869653403759003,6,-378.9291499003768,0.22304034233093262,-0.14538484811782837,-1.4519777,-244.08715867996216,1.8399204,-0.5531472,0.043337106704711914,0.25064158,-1.724494,2.387845039367676,1.4538485,0.015352845191955566,0.0,0.0057201385498046875,-454.3441677093506
10,4.228333,-4.228333,-692.4452317656193,4.204195,0.03370022773742676,1.0172921,-8.171669,-266.85798065122293,0.8890329293188637,-1.1343324,-0.1538325846195221,97.432133520672,-1.2090254,0.007382184732705355,7,-422.83331380039454,0.2160017490386963,-0.14360831677913666,-1.471805,-180.61293806135654,2.1396306,-1.3482133,0.04443502426147461,0.17266065,-1.7253323,2.6112382411956787,1.4360828,0.010224267840385437,0.0,0.006230592727661133,-512.7611999511719
10,4.080148,-4.080148,-687.5121847188381,4.174768,0.03503870964050293,1.0101719,-8.143624,-256.64343760658454,0.940772105595667,-1.1278265,-0.14727269113063812,119.50844772902043,-1.126984,0.007028654683381319,8,-408.0148195758462,0.21555781364440918,-0.14290592074394226,-1.4080778,-185.1143514290452,2.2815735,-1.4937178,0.04506969451904297,0.17643097,-1.7251585,2.835022449493408,1.4290588,0.004366770386695862,0.0,0.0059316158294677734,-530.4376096725464
10,4.116626,-4.116626,-627.6627728790356,4.112713,0.03486967086791992,0.99515617,-8.459494,-254.85712523223265,0.9434441294036265,-1.1136513,-0.1548154056072235,113.42513281615528,-1.131469,0.007594352588057518,9,-411.6626064568758,0.21297121047973633,-0.1414082944393158,-1.4285402,-263.69011645019054,2.8138306,-1.3084996,0.04273796081542969,0.18220538,-1.753691,3.0556159019470215,1.4140829,0.013407111167907715,0.0,0.005745410919189453,-586.7230877876282
