PolicyExecTime,EnvExecTime,ProcessExecTime,OriginalTaskAverageReturn,IRLAverageEnergy,IRLAverageLogQtau,IRLMedianLogQtau,IRLAverageExpertEnergy,IRLAverageExpertLogQtau,IRLMedianExpertLogQtau,IRLLoss,Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss,Time,ItrTime
0.18494939804077148,2.523857831954956,0.054994821548461914,-176.5317734744717,4.0614824,-2.8318698,-2.5380964,2.9508512,-4.8126545,-3.0344114,0.8554181,0,-261.31665970975735,-471.864383511856,1.2385648062718246e-12,61,2.8378768,17.079464,143.93394276131016,-275.24780428409576,-857.2611479759216,1.0,-0.28378769755363464,-0.2943696975708008,0.0,0.009541322477161884,0.010582000017166138,4.37605619430542,4.376060962677002
0.16018080711364746,2.7551703453063965,0.05852913856506348,-155.5858835814025,4.2733545,-2.8239272,-2.504934,2.5608618,-5.3374944,-3.632831,0.41020873,1,-302.6224502999718,-550.6411666100676,0.775655402746031,55,2.8195646,16.769547,197.75223282123875,-234.89604783058167,-1099.273871421814,0.9908884,-0.2819565236568451,-0.2917690873146057,0.0,0.007435023318976164,0.00981256365776062,7.723985910415649,3.338860034942627
0.15096592903137207,2.3454978466033936,0.05409669876098633,-162.0411876537548,4.8435373,-2.7911668,-2.470862,2.1004195,-5.5498877,-3.8480139,0.31108463,2,-319.56680235990075,-530.8971585808322,0.6285048695960624,64,2.8068125,16.557058,187.61931230639215,-248.10117554664612,-912.8557071685791,0.98461795,-0.2806812822818756,-0.28999587893486023,0.0,0.009786306880414486,0.00931459665298462,10.601794004440308,2.8736939430236816
0.14699411392211914,2.193244457244873,0.048560142517089844,-123.75710716556429,5.2606044,-2.7735512,-2.4778945,1.9875672,-5.6213474,-3.8959208,0.26691487,3,-355.26296538911413,-585.0601484626532,0.7682785681794325,65,2.7814407,16.142262,217.5808212310297,-223.33034563064575,-1022.5833978652954,0.9722262,-0.27814409136772156,-0.2846603989601135,0.0,0.007288803346455097,0.006516307592391968,13.33823013305664,2.731762170791626
0.15126848220825195,2.203672170639038,0.053143978118896484,-132.12125896159804,5.6865764,-2.7598717,-2.466059,1.2632967,-5.5415783,-3.7350209,0.20993271,4,-371.9906359494207,-612.0824406372778,0.7250294758104983,66,2.7621615,15.834031,251.31488240694355,-227.79196333885193,-1388.9949207305908,0.96289945,-0.27621614933013916,-0.28315138816833496,0.0,0.0067950403317809105,0.006935238838195801,16.127233028411865,2.784505844116211
0.14835548400878906,2.1768765449523926,0.05653715133666992,-115.37694603073187,6.3572936,-2.742573,-2.4265063,1.092171,-5.9053245,-4.131672,0.1666103,5,-401.92412308291443,-670.2675239310336,0.7980559369196255,67,2.7328277,15.376305,343.6877914134584,-213.21141374111176,-1615.1721200942993,0.948846,-0.2732827365398407,-0.2828027009963989,0.0,0.00722206337377429,0.009519964456558228,18.866139888763428,2.733185052871704
0.1312248706817627,1.753056287765503,0.04839634895324707,-84.34297161462865,6.3908796,-2.7089567,-2.397798,1.0717014,-5.9431095,-4.2426877,0.16770655,6,-391.3553661651851,-609.6380447080812,0.8761919689738419,74,2.7107615,15.040726,259.4064946228144,-310.3326213359833,-1261.2586116790771,0.9384295,-0.27107611298561096,-0.28026971220970154,0.0,0.006782411132007837,0.009193599224090576,21.142091035842896,2.271393060684204
0.13038945198059082,1.7270722389221191,0.0478978157043457,-95.53227948321884,6.5910964,-2.6904898,-2.3886209,0.45487887,-5.9796605,-4.2853856,0.14738701,7,-408.108903362771,-626.3322633028131,0.8569479680388152,74,2.6856856,14.668255,215.6845980160356,-300.80953054502606,-1414.4122948646545,0.9267324,-0.26856860518455505,-0.2795819640159607,0.0,0.008078432641923428,0.01101335883140564,23.38800597190857,2.2409002780914307
0.1310710906982422,1.6969482898712158,0.045623779296875,-89.32763967155245,6.837756,-2.6646144,-2.3606567,0.27263033,-5.5905957,-3.8344512,0.1386108,8,-416.99279126455923,-636.6309876949772,0.8120936034050771,76,2.6721957,14.471709,195.90496850818244,-325.88645350933075,-1341.22500538826,0.9205795,-0.2672196626663208,-0.27568161487579346,0.0,0.006706729996949434,0.008461952209472656,25.605396032333374,2.212427854537964
0.13273930549621582,1.681178092956543,0.04845905303955078,-82.74907622882475,7.1794405,-2.6452188,-2.3286705,0.19943118,-5.5126066,-3.7006707,0.12895659,9,-429.2852948125815,-659.0167137000275,0.7674730951531655,77,2.6425517,14.049006,206.50883087148318,-365.1167639493942,-1366.0618815422058,0.9069694,-0.2642552852630615,-0.2764081358909607,0.0,0.007312898989766836,0.01215285062789917,27.81305694580078,2.2024130821228027
