EnvExecTime,AverageDiscountedReturn,ExplainedVariance,Perplexity,Iteration,Entropy,MeanKLBefore,dLoss,MinReturn,MeanKL,AveragePolicyStd,LossAfter,AbsLearnSignal,Time,AverageReturn,NumTrajs,StdReturn,MaxReturn,PolicyExecTime,ProcessExecTime,IRLLoss,OriginalTaskAverageReturn,LossBefore,ItrTime
29.58387565612793,-111.92462401335848,8.400835582733635e-12,17.079475,0,2.8378775,0.0,0.13427469,-176.92924070358276,0.0076998947,1.0,-0.13427466,0.829637472849185,35.55217623710632,-155.7358045503497,2,21.19343615323305,-134.54236839711666,0.27482104301452637,0.002519369125366211,0.4381999,-484.8279756429737,2.404221e-08,35.552180767059326
31.808205127716064,-149.1616365923021,-1.9602098602308935,17.011814,1,2.833908,0.0,0.068557225,-265.41454178094864,0.008443055,0.9980666,-0.06855726,0.9121254185966379,72.6517186164856,-229.52592012286186,2,35.88862165808678,-193.63729846477509,0.1377396583557129,0.0029425621032714844,0.25164533,-739.0966299641505,-3.8286196e-08,37.093873500823975
20.8560209274292,-437.68491778132704,0.8722433102424847,16.901903,2,2.8274262,0.0,0.028932305,-755.2497982978821,0.0068307365,0.9949083,-0.028932324,0.8558921926504728,98.67691254615784,-755.2497982978821,1,0.0,-755.2497982978821,0.10251784324645996,0.0021104812622070312,0.077340215,-1536.6620278656974,-1.9073486e-08,26.021320581436157
21.177942991256714,-401.0072466674464,0.9797359233238854,16.60302,3,2.8095846,0.0,0.027373955,-724.3617236614227,0.006113073,0.9861609,-0.027373964,0.8231487689283896,125.09983658790588,-724.3617236614227,1,0.0,-724.3617236614227,0.10056614875793457,0.0020532608032226562,0.08944957,-1400.2031625023005,-9.536743e-09,26.418513298034668
20.900035858154297,-220.66910686867257,-1.2576461357640691,16.511303,4,2.8040452,0.0,0.0703674,-397.50906378030777,0.006554026,0.98368627,-0.07036738,0.8382882620277499,151.10350918769836,-397.50906378030777,1,0.0,-397.50906378030777,0.10670995712280273,0.002146005630493164,0.18955383,-674.2247478002382,2.2053719e-08,25.99655771255493
36.13892841339111,-370.84912173700775,0.28853265651770676,17.19643,5,2.8447018,0.0,0.04885391,-792.0921405553818,0.008741312,1.0043713,-0.048853915,0.8699745097512742,192.4654188156128,-594.7899156212807,2,197.3022249341011,-397.48769068717957,0.1748218536376953,0.0034019947052001953,0.060218323,-821.7787204089932,-2.889922e-09,41.35579442977905
26.94976043701172,-208.8446650917977,-2.0203817090454295,17.457417,6,2.8597646,0.0,0.058535583,-539.7070178985596,0.008122058,1.0121479,-0.058535647,0.8925394143135343,224.523010969162,-305.69487051665783,2,234.01214738190174,-71.68272313475609,0.11340999603271484,0.002208709716796875,0.29025555,-496.2997731503443,-6.4812816e-08,32.053847789764404
32.654353857040405,-195.41877338025546,-13.708514065165707,17.798597,7,2.8791196,0.0,0.04868678,-360.54841017723083,0.006805726,1.0221803,-0.048686787,0.9083848323548075,262.45277070999146,-288.7739379834384,2,71.77447219379246,-216.9994657896459,0.1458754539489746,0.0028657913208007812,0.18895477,-469.17184517357,-6.9106836e-09,37.92601156234741
20.927574634552002,-414.39024082828496,-1.1593407399894136,17.81797,8,2.8802075,0.0,0.04216755,-782.0417241454124,0.009065589,1.0227237,-0.042167597,0.8218898546299063,288.54558634757996,-782.0417241454124,1,0.0,-782.0417241454124,0.11370396614074707,0.0021834373474121094,0.18876947,-989.6681063715669,-4.2915346e-08,26.08892822265625
30.230043172836304,-134.59874238916643,-0.496574779967655,17.466597,9,2.8602903,0.0,0.059575275,-195.45098042488098,0.008481772,1.0131168,-0.059575304,0.8369984121636195,323.9507987499237,-193.66419076919556,2,1.7867896556854248,-191.87740111351013,0.13567829132080078,0.002589702606201172,0.33514625,-337.9661293499905,-3.1013798e-08,35.40143585205078
34.48307156562805,-314.2952351182204,-6.175332816588889,18.294094,10,2.9065783,0.0,0.06837216,-679.3048845529556,0.009928992,1.0355415,-0.06837214,0.8631473761555087,363.65287566185,-485.26706129312515,2,194.03782325983047,-291.2292380332947,0.16264700889587402,0.003290414810180664,0.10152877,-779.1507230976722,2.461095e-08,39.69839382171631
32.57195782661438,-415.0391391593355,-0.5176864087311301,18.502693,11,2.9179163,0.0,0.09015688,-678.1737592220306,0.009377791,1.0419047,-0.09015685,0.8981567919042417,401.358558177948,-628.9353684186935,2,49.2383908033371,-579.6969776153564,0.14611458778381348,0.0030105113983154297,0.053157553,-684.7633200621417,2.705459e-08,37.701886892318726
28.74003291130066,-247.32523460127854,-0.13327525967881781,18.644264,12,2.9255385,0.0,0.060392644,-610.6935315132141,0.007117742,1.0452368,-0.06039263,0.9718447671623575,435.28424429893494,-350.08673867210746,2,260.60679284110665,-89.4799458310008,0.12175464630126953,0.002617359161376953,0.40596658,-450.70274935027044,1.658564e-08,33.92184615135193
20.890406131744385,-447.935186533608,-6.234510682035259,18.279795,13,2.9057963,0.0,0.03529149,-727.6824357509613,0.007955009,1.0355437,-0.035291538,0.8070589614995627,461.30467319488525,-727.6824357509613,1,0.0,-727.6824357509613,0.10903716087341309,0.002103090286254883,0.044024393,-694.5714177762837,-4.7683717e-08,26.016332626342773
21.002529859542847,-571.5821863955659,0.982017532938365,18.542862,14,2.920085,0.0,0.052141596,-954.6967670917511,0.009854775,1.0447394,-0.052141614,0.896505724536997,487.4496238231659,-954.6967670917511,1,0.0,-954.6967670917511,0.09387469291687012,0.0020949840545654297,0.013048809,-960.1739359881777,-1.9073486e-08,26.13785743713379
