IRLAverageLogQtau,IRLMedianExpertLogQtau,AverageReturn,Iteration,OriginalTaskAverageReturn,AveragePolicyStd,IRLAverageExpertLogQtau,IRLMedianLogQtau,StdReturn,IRLRewardMax,ExplainedVariance,IRLAverageEnergy,Time,MaxReturn,AverageDiscountedReturn,dLoss,LossAfter,MinReturn,LossBefore,PolicyExecTime,IRLLoss,IRLRewardMean,NumTrajs,EnvExecTime,IRLRewardMin,ProcessExecTime,Entropy,Perplexity,MeanKL,ItrTime,MeanKLBefore,IRLAverageExpertEnergy
-1.4086559,-1.1821098,-209.78073107302188,0,-648.1708902958716,1.0,-2.0467658,-1.1318762,76.87983708664086,-0.24694657,3.893552147360424e-12,2.0978074,0.9979743957519531,-106.07867634296417,-128.54418658298982,0.0026096701622009277,-0.14450353384017944,-348.0139700770378,-0.14189386367797852,0.05656290054321289,0.72291297,-2.0978074,10,0.03282976150512695,-5.578722,0.005205392837524414,1.4189383,4.1327305,0.007134700659662485,0.9979777336120605,0.0,0.7466725
-1.3759766,-1.1529632,-346.03833735100926,1,-545.4831745972627,0.9807549,-2.0608623,-1.1299375,27.040534327190677,0.2059604,0.6897326919284199,3.4603834,1.2013907432556152,-286.2483885586262,-210.50241893160597,0.01197725534439087,-0.1519278585910797,-378.3973368257284,-0.13995060324668884,0.04625439643859863,0.4012586,-3.4603834,10,0.0347139835357666,-6.44801,0.005922794342041016,1.3995057,4.053196,0.008273269981145859,0.198014497756958,0.0,0.58671635
-1.4298233,-1.1593552,-353.9634583264589,2,-655.2987390081114,0.98877984,-2.1108491,-1.1531231,66.26014086309839,0.79656637,0.8907198728085838,3.5396345,1.453401803970337,-251.05484437942505,-215.97775646541066,0.015568450093269348,-0.15633393824100494,-439.6734563559294,-0.1407654881477356,0.05186104774475098,0.36505675,-3.5396345,10,0.036041259765625,-7.902395,0.006821632385253906,1.407655,4.0863614,0.006272725760936737,0.24349212646484375,0.0,0.25249076
-1.4402736,-1.1538103,-358.37435171566904,3,-645.5052770108591,1.0049275,-2.1029615,-1.154289,23.223870721278224,1.1937201,0.9196665042429311,3.5837433,1.6482131481170654,-336.66895961761475,-224.84707614923818,0.016009673476219177,-0.15839508175849915,-409.1283145211637,-0.14238540828227997,0.04114985466003418,0.30608755,-3.5837433,10,0.03171873092651367,-7.657873,0.005321502685546875,1.423854,4.1530957,0.007824578322470188,0.1894211769104004,0.0,-0.111639015
-1.3995912,-1.1674802,-366.3122941762209,4,-675.0452973409836,0.9788048,-2.175546,-1.1113781,49.337668780054784,1.7448041,0.8838864522430346,3.663123,1.852571725845337,-277.4402379691601,-229.3338549304173,0.022752538323402405,-0.16250409185886383,-453.04816591739655,-0.13975155353546143,0.045522212982177734,0.26191443,-3.663123,10,0.0362396240234375,-7.4175467,0.005754232406616211,1.3975157,4.045138,0.009007450193166733,0.19587969779968262,0.0,-0.49385375
-1.3799143,-1.2120063,-392.02024836987255,5,-615.2115776985761,0.9911861,-2.2080986,-1.1053236,47.18676251521809,1.6732261,0.9326790333348098,3.9202025,2.065122604370117,-320.65862652659416,-239.34466592312938,0.006490111351013184,-0.14749862253665924,-494.0600733011961,-0.14100851118564606,0.04612302780151367,0.24574749,-3.9202025,10,0.035978078842163086,-9.30433,0.005701303482055664,1.4100856,4.096306,0.007092334795743227,0.20531415939331055,0.0,-0.4375578
-1.3918146,-1.213338,-388.217600511387,6,-590.2858383186583,0.9929849,-2.1914847,-1.1199698,37.47912099011067,1.3577939,0.8892082348260796,3.8821757,2.2670090198516846,-313.27695286273956,-242.36301180007067,0.01364891231060028,-0.15483877062797546,-447.38963654637337,-0.14118985831737518,0.04446911811828613,0.23107515,-3.8821757,10,0.034146785736083984,-8.690111,0.005659818649291992,1.411899,4.1037407,0.006724855862557888,0.19429278373718262,0.0,-0.33680424
-1.4441847,-1.227129,-398.5118079856038,7,-694.3987575099051,0.96558565,-2.279237,-1.1471906,71.20201579661219,1.834862,0.85763577725624,3.985118,2.458667278289795,-272.41762977838516,-251.14881694130523,0.02182088792324066,-0.1602126657962799,-473.5663197040558,-0.13839177787303925,0.04070615768432617,0.20792963,-3.985118,10,0.03440666198730469,-8.091875,0.005610227584838867,1.3839182,3.9905064,0.00964200496673584,0.1840219497680664,0.0,-0.8335718
-1.3862834,-1.4664134,-378.1469390027225,8,-653.0215815288518,0.96398646,-2.4922116,-1.1135418,87.52222050257636,2.301507,0.822781451238533,3.7814693,2.6766490936279297,-176.4634108543396,-235.98485567837128,0.00930701196193695,-0.14753305912017822,-494.3275423049927,-0.13822604715824127,0.04383254051208496,0.21587433,-3.7814693,10,0.03533220291137695,-7.149143,0.005601167678833008,1.3822608,3.9838982,0.005287074483931065,0.20966529846191406,0.0,-0.708963
-1.4245867,-1.4052448,-389.24152399897577,9,-621.8957877695491,0.96058935,-2.458414,-1.1477873,80.0340187728956,1.7700366,0.893249554301652,3.8924153,2.8935623168945312,-275.1747401803732,-247.03919093109508,0.017549604177474976,-0.1554226279258728,-519.1878561973572,-0.13787302374839783,0.0447993278503418,0.21007904,-3.8924153,10,0.032358407974243164,-7.3628216,0.005400180816650391,1.3787304,3.9698584,0.007903429679572582,0.19628024101257324,0.0,-0.75441027
