MeanKL,ProcessExecTime,AverageDiscountedReturn,Iteration,Perplexity,dLoss,OriginalTaskAverageReturn,AverageReturn,NumTrajs,IRLAverageEnergy,IRLRewardMax,MinReturn,ExplainedVariance,IRLRewardMean,EnvExecTime,Time,IRLMedianExpertLogQtau,IRLAverageLogQtau,Entropy,LossBefore,AveragePolicyStd,IRLAverageExpertLogQtau,LossAfter,IRLAverageExpertEnergy,MeanKLBefore,ItrTime,IRLMedianLogQtau,IRLLoss,StdReturn,IRLRewardMin,MaxReturn,PolicyExecTime
0.009244789369404316,0.005949497222900391,-175.0006220611698,0,4.1327305,0.011226698756217957,-622.7790100256703,-275.4670364882797,10,2.7546704,0.08647204,-336.85133332014084,3.255395952805884e-12,-2.7546704,0.035869598388671875,1.2307748794555664,-1.1509784,-1.4192379,1.4189383,-0.14189384877681732,1.0,-1.6928232,-0.15312054753303528,0.7021588,0.0,1.2307963371276855,-1.1668606,0.5431935,46.901996735942824,-7.6224556,-196.8174191713333,0.05697154998779297
0.00746102724224329,0.0058863162994384766,-192.13774063265063,1,4.0025687,0.01252870261669159,-612.5236081650874,-303.33375644609333,10,3.0333376,0.896352,-351.463250041008,0.7839881431136309,-3.0333376,0.03403925895690918,1.5074067115783691,-1.1497498,-1.3865886,1.3869363,-0.13869361579418182,0.96850467,-1.7232467,-0.1512223184108734,0.10301993,0.0,0.27106428146362305,-1.1171851,0.3901551,54.13422524482528,-7.5237174,-156.18005926907063,0.04471945762634277
0.006982436403632164,0.006308555603027344,-222.16471812448066,2,3.9732544,0.013601556420326233,-670.7262172922765,-352.6484072096646,10,3.5264838,1.0511764,-398.47065258026123,0.9299853081696828,-3.5264838,0.03661966323852539,1.800844669342041,-1.1403884,-1.3687698,1.3795855,-0.1379585564136505,0.96141136,-1.7253047,-0.15156011283397675,-0.47979817,0.0,0.28499364852905273,-1.0911533,0.28035554,51.538816881781266,-7.972434,-248.26655350625515,0.04617619514465332
0.009673293679952621,0.006360530853271484,-211.99565029728484,3,3.8714178,0.016513332724571228,-567.3525987701387,-337.9417504876852,10,3.3794174,1.5907438,-427.8464307785034,0.9363057500973314,-3.3794174,0.032764434814453125,2.082526206970215,-1.1297276,-1.3371496,1.3536208,-0.13536211848258972,0.93677014,-1.7492162,-0.15187545120716095,-0.2856193,0.0,0.26905035972595215,-1.0849631,0.29848763,74.60684182402127,-7.5114455,-202.337951913476,0.043462276458740234
0.007507286500185728,0.0058574676513671875,-218.84288538671976,4,3.8426223,0.004282712936401367,-544.5842299276954,-341.63453660160303,10,3.4163451,1.3493181,-438.12879967689514,0.9041545834025765,-3.4163451,0.0353851318359375,2.369102954864502,-1.1468861,-1.3438923,1.346155,-0.1346154808998108,0.9298019,-1.7691742,-0.13889819383621216,0.1065627,0.0,0.27544140815734863,-1.0731966,0.3235919,70.97988881467656,-7.6665754,-214.27202379703522,0.04279327392578125
0.00898935180157423,0.006277322769165039,-212.35296920576184,5,3.6603043,0.013314947485923767,-610.3896997642752,-340.5088325567543,10,3.4050884,1.6462122,-427.08894538879395,0.9348482809419766,-3.4050884,0.03455066680908203,2.652362585067749,-1.1294582,-1.2910801,1.2975463,-0.12975460290908813,0.88568616,-1.8217268,-0.1430695503950119,-0.46893528,0.0,0.26378440856933594,-1.0103687,0.26103112,81.56338230986591,-6.60023,-211.20135086029768,0.04132199287414551
0.007049580570310354,0.005670070648193359,-243.5930285977949,6,3.6237423,0.012577816843986511,-630.0324746962972,-383.3727838329971,10,3.833728,1.6338717,-480.2645401954651,0.8905525930593695,-3.833728,0.03436541557312012,2.928374767303467,-1.086319,-1.2875545,1.2875073,-0.128750741481781,0.87683964,-1.7822179,-0.14132855832576752,-0.4884911,0.0,0.2666585445404053,-0.99982244,0.2376628,95.55671209120464,-7.6377153,-197.21096520125866,0.0413362979888916
0.0082072913646698,0.0054624080657958984,-210.68206556422805,7,3.575752,0.01658235490322113,-522.9880942324041,-339.0977899208665,10,3.3909779,1.4900376,-438.9759464263916,0.8655933448525127,-3.3909779,0.031854867935180664,3.196847915649414,-1.0604206,-1.25043,1.2741755,-0.12741754949092865,0.8652271,-1.7621042,-0.14399990439414978,-0.10421614,0.0,0.2591438293457031,-0.97364146,0.30665517,66.02106184621644,-7.5063577,-247.556503161788,0.04514884948730469
0.009295683354139328,0.00557255744934082,-247.09111809393363,8,3.526408,0.013181716203689575,-672.7626081966736,-391.08088457286357,10,3.9108088,2.2492228,-482.1879942417145,0.8760339218517877,-3.9108088,0.034252166748046875,3.4847795963287354,-1.0472871,-1.268498,1.2602798,-0.12602797150611877,0.8532876,-1.7553245,-0.13920968770980835,-0.79501474,0.0,0.280071496963501,-0.9991451,0.21847227,94.15934969304786,-7.408103,-213.09608152508736,0.045728445053100586
0.008109466172754765,0.006261587142944336,-239.68047236887415,9,3.495026,0.015625834465026855,-675.4863415806052,-377.65645689964293,10,3.7765644,1.7058725,-482.5721845626831,0.9289602082838867,-3.7765644,0.03587937355041504,3.7767281532287598,-1.0496094,-1.2227844,1.2513409,-0.12513408064842224,0.84569365,-1.7728446,-0.1407599151134491,-1.2531811,0.0,0.2838101387023926,-0.9757162,0.20134048,93.13913506299149,-6.952849,-241.7075303196907,0.04650402069091797
