Iteration,IRLRewardMax,EnvExecTime,ProcessExecTime,AbsLearnSignal,LossBefore,MeanKLBefore,MeanKL,Time,IRLMedianLogQtau,IRLAverageExpertEnergy,AveragePolicyStd,ExplainedVariance,AverageReturn,Entropy,AverageDiscountedReturn,IRLAverageLogQtau,Perplexity,MinReturn,IRLAverageExpertLogQtau,LossAfter,OriginalTaskAverageReturn,IRLAverageEnergy,StdReturn,dLoss,IRLRewardMean,PolicyExecTime,IRLLoss,MaxReturn,IRLRewardMin,ItrTime,IRLMedianExpertLogQtau,NumTrajs
10,1.1318765,0.026976346969604492,0.004962444305419922,0.823331055042791,-0.14243482,0.0,0.0067292764,16.252232789993286,-1.1465441,0.32905677,1.0054243,0.6916383182690532,-280.5256227180362,1.4243481,-178.9131949054672,-1.4090598,4.1551485,-425.0429439544678,-1.7985739,-0.15726858,-587.3454489308817,2.8052564,97.82240756687496,0.014833763,-2.8052564,0.054799795150756836,0.40340483,-93.80077886581421,-6.307143,1.3961396217346191,-1.2898881,10
11,1.3690304,0.026697397232055664,0.004836320877075195,0.8333070425998719,-0.14205061,0.0,0.008684175,17.59752917289734,-1.1406863,0.5123809,1.0015688,0.7783251647925339,-310.9665458589792,1.4205061,-200.97798135602716,-1.4275737,4.139215,-459.7497720718384,-1.8338904,-0.15855621,-607.8236627873325,3.1096656,96.68970789177861,0.016505599,-3.1096656,0.05417370796203613,0.40839958,-199.81966864317656,-6.2387104,1.3394830226898193,-1.3067644,10
12,1.1029946,0.026112794876098633,0.004796266555786133,0.7945236624380202,-0.14065595,0.0,0.007509784,19.014232397079468,-1.1607611,0.41668597,0.98769736,0.8499473900380998,-291.0486981421709,1.4065593,-189.37164310356678,-1.406313,4.081887,-445.5167977809906,-1.9017277,-0.15367289,-569.018852491983,2.9104867,89.17088115144806,0.013016939,-2.9104867,0.05190300941467285,0.40179086,-190.04277731478214,-6.846727,1.410792350769043,-1.3516333,10
13,1.1470758,0.0283205509185791,0.005649566650390625,0.7742058235777601,-0.14008662,0.0,0.00791584,20.45095658302307,-1.1229663,0.57311994,0.98208994,0.8839423628146301,-264.35836447030306,1.400866,-170.83783622065883,-1.3888736,4.0587134,-396.43403029441833,-1.9862674,-0.16024968,-537.4541195408721,2.6435835,92.00888863902223,0.02016306,-2.6435835,0.05552506446838379,0.41377294,-147.60603276640177,-6.524902,1.4291486740112305,-1.4057066,10
14,0.8933839,0.024939775466918945,0.00488591194152832,0.7861131836696174,-0.1380961,0.0,0.006715934,21.785353660583496,-1.0888305,0.7591746,0.9627345,0.7805392387561871,-216.53834648653864,1.3809607,-139.52847054833848,-1.3578255,3.978722,-313.14552116394043,-1.8685788,-0.1549291,-474.8865965263758,2.1653833,54.706659630567,0.016833007,-2.1653833,0.05121564865112305,0.4965685,-134.2682249546051,-5.2565,1.329174280166626,-1.3003774,10
15,1.5092087,0.026012897491455078,0.004872560501098633,0.7810151869046348,-0.13866416,0.0,0.009940267,23.12049150466919,-1.1148989,0.01978387,0.96821886,0.8400503682519987,-269.0899499133229,1.3866417,-173.57170553122563,-1.3855442,4.00139,-388.25516986846924,-1.9409784,-0.16488028,-572.4476283938861,2.6908994,63.15878676177987,0.02621612,-2.6908994,0.05254936218261719,0.40139386,-190.84164004027843,-5.754388,1.3292896747589111,-1.3540158,10
16,0.89131117,0.027123451232910156,0.005048274993896484,0.8232489443204386,-0.13695404,0.0,0.009762428,24.494909286499023,-1.0780292,0.5501138,0.9518022,0.8504511296535708,-260.49955913498997,1.3695406,-172.10795201817825,-1.3470935,3.9335432,-377.5946058034897,-1.9668078,-0.15518811,-550.3179909837743,2.6049955,58.10490376013039,0.018234074,-2.6049955,0.052903175354003906,0.43863142,-190.63484153151512,-6.200506,1.3662440776824951,-1.3639402,10
17,1.0648214,0.028425216674804688,0.005453824996948242,0.8489272435340866,-0.13848862,0.0,0.00825958,25.851744651794434,-1.1320405,0.24841726,0.966521,0.8561043547861709,-258.85589646101,1.384886,-167.64910557345442,-1.3808552,3.9943707,-382.9821696281433,-1.8595735,-0.14972986,-565.9868419301507,2.588559,58.60230160685525,0.011241242,-2.588559,0.05506134033203125,0.42581925,-199.60212138295174,-5.646246,1.3492119312286377,-1.2915885,10
18,1.2216933,0.026749610900878906,0.0055048465728759766,0.8072276888514872,-0.13597894,0.0,0.0087479735,27.26181650161743,-1.122746,0.44655663,0.942566,0.9129437872098334,-253.67417983561754,1.3597889,-164.52181019066052,-1.3697842,3.895371,-348.7552316188812,-1.8888237,-0.15897423,-529.9269685973503,2.5367417,41.838178386163385,0.022995293,-2.5367417,0.05696272850036621,0.4471856,-190.39496494084597,-5.352515,1.4041337966918945,-1.2925262,10
19,0.4050913,0.027210474014282227,0.0048828125,0.773038500189869,-0.1376662,0.0,0.007023636,28.59741520881653,-1.0984869,0.15785038,0.95860475,0.882752569357699,-277.25134844332933,1.376662,-180.76946910992203,-1.3938628,3.9616556,-403.33034682273865,-1.8595592,-0.14954746,-566.2839312232306,2.7725134,51.48864672472908,0.011881262,-2.7725134,0.05237412452697754,0.3924341,-227.37649184465408,-5.7786994,1.3299999237060547,-1.2915838,10
