AverageDiscountedReturn,AveragePolicyStd,AbsLearnSignal,Time,Perplexity,MeanKLBefore,Entropy,AverageReturn,StdReturn,Iteration,LossAfter,LossBefore,dLoss,ProcessExecTime,PolicyExecTime,EnvExecTime,ExplainedVariance,OriginalTaskAverageReturn,NumTrajs,MinReturn,IRLLoss,MeanKL,MaxReturn,ItrTime
-222.8370156335946,0.9893551,nan,679.827565908432,16.71388,0.0,2.8162396,-313.44206243008375,125.66809106618166,32,nan,nan,nan,0.003137826919555664,0.20797181129455566,25.476267099380493,nan,10.143782982861698,2,-439.1101534962654,0.37339073,0.0,-187.7739713639021,30.77646255493164
-192.45051811675626,0.98935515,0.8693808580265381,697.878301858902,16.713877,0.0,2.8162394,-270.56127750873566,0.0,33,-0.053827796,-0.0,0.053827796,0.0015816688537597656,0.09986424446105957,12.81892704963684,0.05143392354001697,12.605104960482128,1,-270.56127750873566,0.21374227,0.008902478,-270.56127750873566,18.046492099761963
-260.4145012969386,0.9889954,0.8864941997536336,715.8517706394196,16.701536,0.0,2.8155007,-380.22778683900833,0.0,34,-0.084307164,-6.357829e-08,0.0843071,0.0015251636505126953,0.1058506965637207,12.848691463470459,0.9621666352175127,9.819907710428456,1,-380.22778683900833,0.1544176,0.009583215,-380.22778683900833,17.967928409576416
-424.50459857694887,0.9793677,0.902907369026148,733.6772658824921,16.38137,0.0,2.7961447,-606.7726340293884,0.0,35,-0.07672297,-0.0,0.07672297,0.001523733139038086,0.09705138206481934,12.677456617355347,0.9724274137746591,8.173127757792216,1,-606.7726340293884,0.05023128,0.009201953,-606.7726340293884,17.81995964050293
-313.57411355771904,0.97871536,0.9085126858178613,751.6170167922974,16.358995,0.0,2.7947779,-443.1706309914589,0.0,36,-0.06539516,-3.1789146e-08,0.06539513,0.001569509506225586,0.09997916221618652,12.764831304550171,0.6307135107541191,9.422672073960433,1,-443.1706309914589,0.12515453,0.007826727,-443.1706309914589,17.935689449310303
-179.31863151980627,0.9941988,0.793478701315832,769.8442966938019,16.8735,0.0,2.8257444,-258.8141770064831,0.0,37,-0.038580798,-6.357829e-08,0.038580734,0.0015513896942138672,0.10942268371582031,12.978934049606323,-0.4005042181207885,12.421623592621383,1,-258.8141770064831,0.24514538,0.009284516,-258.8141770064831,18.221378087997437
-191.10657000499472,1.0270662,0.8879977046382561,788.0802328586578,18.009565,0.0,2.890903,-282.0413991212845,0.0,38,-0.07703975,-0.0,0.07703975,0.0016438961029052734,0.10845828056335449,13.059736490249634,0.730777052670641,13.485717187548262,1,-282.0413991212845,0.20774986,0.008561241,-282.0413991212845,18.230117797851562
-381.20063614765576,1.0227704,0.8969683831763606,805.9805986881256,17.865013,0.0,2.8828442,-558.7883224487305,0.0,39,-0.060384385,3.1789146e-08,0.06038442,0.0016329288482666016,0.10250401496887207,12.73795747756958,0.8915734446195362,8.123265394192327,1,-558.7883224487305,0.087093145,0.006944995,-558.7883224487305,17.89461636543274
nan,1.0253129,nan,823.9613163471222,17.951897,0.0,2.8876958,nan,nan,40,nan,nan,nan,0.0015020370483398438,0.10834860801696777,12.843974590301514,nan,nan,1,nan,0.13929601,0.0,nan,17.976834058761597
-449.1759598192275,1.0253129,nan,841.8681018352509,17.951897,0.0,2.8876958,-632.245352268219,0.0,41,nan,nan,nan,0.0016739368438720703,0.09812736511230469,12.686383247375488,nan,8.198742542846851,1,-632.245352268219,0.049711954,0.0,-632.245352268219,17.902987003326416
nan,1.0253129,nan,872.4900848865509,17.951893,0.0,2.8876956,nan,nan,42,nan,nan,nan,0.0030775070190429688,0.2100999355316162,25.305912256240845,nan,nan,2,nan,0.46382344,0.0,nan,30.61772656440735
nan,1.0253129,nan,890.322466135025,17.951897,0.0,2.8876958,nan,nan,43,nan,nan,nan,0.0016047954559326172,0.09906911849975586,12.638655662536621,nan,nan,1,nan,0.059766036,0.0,nan,17.827367305755615
-583.0703825377665,1.0253129,nan,908.0642142295837,17.951897,0.0,2.8876958,-822.7494089007378,0.0,44,nan,nan,nan,0.001622915267944336,0.09922575950622559,12.534245729446411,nan,6.8259217718562315,1,-822.7494089007378,0.041893214,0.0,-822.7494089007378,17.737834692001343
nan,1.0253129,nan,933.489786863327,17.951897,0.0,2.8876958,nan,nan,45,nan,nan,nan,0.00209808349609375,0.14275670051574707,20.057108879089355,nan,nan,2,nan,0.1834697,0.0,nan,25.421542406082153
-595.83588293257,1.0253129,nan,951.2321844100952,17.951897,0.0,2.8876958,-833.4144896268845,0.0,46,nan,nan,nan,0.0015740394592285156,0.0961906909942627,12.60115122795105,nan,7.035876228589549,1,-833.4144896268845,0.049008917,0.0,-833.4144896268845,17.738240480422974
-279.08689709710114,1.0253129,0.8862605454409314,969.2995631694794,17.951897,0.0,2.8876958,-394.3648781776428,0.0,47,-0.07460931,-0.0,0.07460931,0.0016314983367919922,0.10526299476623535,12.836885452270508,-3.099330053972645,12.835709641725906,1,-394.3648781776428,0.06796086,0.007152011,-394.3648781776428,18.063048601150513
-196.29759448999516,1.0137461,0.8565935387653419,987.6461672782898,17.539534,0.0,2.8644574,-282.12308406829834,0.0,48,-0.078681156,6.357829e-08,0.07868122,0.0016567707061767578,0.111907958984375,13.242972612380981,0.08895048080617696,15.548338935874042,1,-282.12308406829834,0.4323875,0.0079550315,-282.12308406829834,18.342291831970215
-214.5196235196531,1.0035019,0.762797346514535,1005.9996914863586,17.1949,0.0,2.8446128,-308.1226145029068,0.0,49,-0.059367888,1.5894573e-08,0.059367903,0.0016133785247802734,0.11779499053955078,13.223967790603638,0.8543757183439951,11.738168549412126,1,-308.1226145029068,0.15881671,0.00607623,-308.1226145029068,18.349626064300537
nan,1.0073761,nan,1024.2504587173462,17.32233,0.0,2.8519964,nan,nan,50,nan,nan,nan,0.0016002655029296875,0.11178970336914062,13.0992751121521,nan,nan,1,nan,0.5235857,0.0,nan,18.247031211853027
-469.6603440883172,1.0073761,nan,1041.9896919727325,17.32233,0.0,2.8519964,-692.6496344208717,0.0,51,nan,nan,nan,0.0015342235565185547,0.0988154411315918,12.59179401397705,nan,8.750208329864712,1,-692.6496344208717,0.22293627,0.0,-692.6496344208717,17.735287189483643
-308.61837458186267,1.0073761,0.8611904159385356,1060.2772963047028,17.32233,0.0,2.8519964,-440.411741733551,0.0,52,-0.04803715,6.357829e-08,0.048037212,0.0016486644744873047,0.1108391284942627,12.961464166641235,0.6584234989573526,10.783073229792116,1,-440.411741733551,0.20337309,0.0076278257,-440.411741733551,18.281928062438965
nan,1.0122175,nan,1090.9240019321442,17.49291,0.0,2.8617957,nan,nan,53,nan,nan,nan,0.0031578540802001953,0.2085130214691162,25.279239177703857,nan,nan,2,nan,0.2700853,0.0,nan,30.642642974853516
nan,1.0122174,nan,1108.8788707256317,17.492918,0.0,2.8617961,nan,nan,54,nan,nan,nan,0.001608133316040039,0.0980844497680664,12.72657322883606,nan,nan,1,nan,0.13403694,0.0,nan,17.950823307037354
