IRLMedianExpertLogQtau,IRLMedianLogQtau,IRLAverageEnergy,Entropy,Perplexity,PolicyExecTime,NumTrajs,OriginalTaskAverageReturn,MaxReturn,AverageDiscountedReturn,IRLLoss,dLoss,AverageReturn,IRLRewardMin,LossBefore,StdReturn,IRLRewardMax,Iteration,ItrTime,AveragePolicyStd,ExplainedVariance,IRLRewardMean,MeanKL,IRLAverageExpertLogQtau,Time,IRLAverageLogQtau,ProcessExecTime,IRLAverageExpertEnergy,EnvExecTime,MeanKLBefore,LossAfter,MinReturn
-1.1357086,-1.1606972,1.472157,1.4189383,4.1327305,0.0550382137298584,10,-832.7471088494949,-130.20195031166077,-96.28468828148671,0.82270396,0.009601250290870667,-147.21568953245878,-5.0369673,-0.14189386367797852,11.938413015646514,-0.075077966,0,1.013270616531372,1.0,1.304911734223424e-11,-1.472157,0.0059838080778717995,-2.0396526,1.0132534503936768,-1.4185443,0.005550861358642578,0.511889,0.03311491012573242,0.0,-0.15149511396884918,-171.63852928578854
-1.148596,-1.1413376,3.165989,1.4185317,4.13105,0.042916297912597656,10,-737.0818562752818,-287.233686208725,-202.38464541438057,0.37283066,0.008977800607681274,-316.59890553951266,-7.15332,-0.1418531984090805,13.104706581768216,0.31663603,1,0.22805404663085938,0.9995935,0.7575270414042515,-3.165989,0.007365630939602852,-1.982946,1.2479524612426758,-1.4001734,0.006053924560546875,0.37494346,0.033486127853393555,0.0,-0.15083099901676178,-336.56473445892334
-1.1192275,-1.109144,3.826127,1.388344,4.0082073,0.04108095169067383,10,-761.7854994161873,-328.49648101627827,-237.55535350921008,0.2408576,0.003835439682006836,-382.61267773360015,-9.739215,-0.13883443176746368,25.936032960730476,1.3696864,2,0.2237720489501953,0.9698687,0.9351850121970081,-3.826127,0.00903258379548788,-1.977632,1.4857192039489746,-1.4051428,0.0057697296142578125,-0.4277187,0.03192400932312012,0.0,-0.14266987144947052,-415.7045454978943
-1.1024884,-1.0748646,4.3790145,1.3608711,3.8995886,0.04116082191467285,10,-802.4109839395107,-310.43727016448975,-268.9890623462419,0.15083556,0.013703331351280212,-437.90148011520506,-8.131416,-0.13608714938163757,53.91069406595871,2.2174149,3,0.21935296058654785,0.9435864,0.9645073345815314,-4.3790145,0.006613557692617178,-1.9978199,1.7124249935150146,-1.383964,0.005501270294189453,-1.1696169,0.0334467887878418,0.0,-0.14979048073291779,-487.3711724281311
-1.0969229,-1.0891118,4.74744,1.3696436,3.9339483,0.04119277000427246,10,-775.2834869228151,-301.58958461880684,-289.7943989391592,0.17510305,0.013932570815086365,-474.74400985836985,-9.960117,-0.1369643360376358,73.94952166826289,2.2695687,4,0.2365891933441162,0.95190024,0.9803940465128869,-4.74744,0.006757813040167093,-1.9782641,1.9563758373260498,-1.3881263,0.005511760711669922,-0.92875916,0.03488659858703613,0.0,-0.15089690685272217,-533.8721733093262
-1.1310138,-1.1074941,4.86781,1.3622895,3.905124,0.03937840461730957,10,-768.0996640258076,-380.7981866300106,-296.75401081485626,0.13632593,0.03266417980194092,-486.78093226104977,-8.642049,-0.13622896373271942,72.76625614598498,2.2844534,5,0.2208709716796875,0.944926,0.9893685770030357,-4.86781,0.008935533463954926,-1.9982907,2.186342477798462,-1.3638115,0.005402565002441406,-1.1943306,0.031331539154052734,0.0,-0.16889314353466034,-552.4199504852295
-1.0857167,-1.0967827,4.652004,1.3564249,3.882289,0.04320859909057617,10,-671.2823126744408,-354.6667017787695,-278.7403675194515,0.17750493,0.02556362748146057,-465.2003728337586,-8.810002,-0.13564251363277435,75.41314583277303,2.2223923,6,0.2175583839416504,0.93940055,0.9825029428405536,-4.652004,0.008378502912819386,-1.9172776,2.4129106998443604,-1.3388106,0.005696535110473633,-1.0099537,0.03226613998413086,0.0,-0.16120614111423492,-589.1038708686829
-1.091777,-1.0772772,5.0063143,1.3407651,3.8219666,0.04660296440124512,10,-732.911644307025,-385.7113198041916,-305.84366100382084,0.11623307,0.02822481095790863,-500.63149523139,-9.281036,-0.1340765506029129,85.88432612071497,1.6520724,7,0.21924543380737305,0.9248045,0.973354549169642,-5.0063143,0.009278328157961369,-1.9095105,2.6394076347351074,-1.3658584,0.005472898483276367,-1.7139819,0.03335309028625488,0.0,-0.16230136156082153,-613.2475161552429
-1.0973067,-1.0677551,5.1733007,1.3394272,3.8168566,0.04439234733581543,10,-714.1318497828897,-255.1767325103283,-317.89924186269184,0.14112678,0.019332289695739746,-517.3300835177303,-9.041485,-0.13394270837306976,136.9981916212263,2.1461372,8,0.21835541725158691,0.92356753,0.9634574134153316,-5.1733007,0.006949369329959154,-1.8624254,2.866577625274658,-1.3475865,0.005578279495239258,-1.3643137,0.03415322303771973,0.0,-0.1532749980688095,-658.574565410614
-1.0664978,-1.0489181,4.653445,1.31995,3.7432342,0.0419611930847168,10,-568.7702333499954,-306.8194616138935,-288.2041131127475,0.2426226,0.01382821798324585,-465.3444708347321,-9.645588,-0.13199497759342194,99.85936827373482,1.3325151,9,0.21399521827697754,0.90575314,0.8545121290085284,-4.653445,0.00671325484290719,-1.8380513,3.088798761367798,-1.317759,0.00546574592590332,-0.63847756,0.03329586982727051,0.0,-0.14582319557666779,-596.3040156364441
