IRLMedianLogQtau,ExplainedVariance,OriginalTaskAverageReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,Entropy,Perplexity,IRLAverageEnergy,IRLRewardMean,IRLAverageLogQtau,NumTrajs,IRLRewardMin,IRLLoss,LossAfter,PolicyExecTime,Iteration,IRLMedianExpertLogQtau,MaxReturn,Time,StdReturn,LossBefore,MeanKLBefore,AverageReturn,MeanKL,IRLAverageExpertEnergy,MinReturn,IRLAverageExpertLogQtau,ItrTime,dLoss,IRLRewardMax,AverageDiscountedReturn
-1.2027413,0.8904413869637408,-596.0632273869322,0.005803823471069336,0.034682273864746094,1.0434295,1.4614512,4.312213,4.075643,-4.075643,-1.4771028,10,-7.907391,0.21923533,-0.16918417811393738,0.04517245292663574,24,-1.1610386,-326.57819616794586,8.319485187530518,44.93851363451425,-0.14614513516426086,0.0,-407.56428697034715,0.006715013645589352,-1.6825873,-480.0785799026489,-1.5258641,0.30109643936157227,0.023039042949676514,1.3001884,-248.34103420487878
-1.236943,0.9631937806068245,-588.1722073861899,0.005638837814331055,0.03318476676940918,1.0740701,1.490394,4.438844,4.2288346,-4.2288346,-1.5121528,10,-8.0282755,0.21311794,-0.16221947968006134,0.04138493537902832,25,-1.1730504,-342.50844037532806,8.604761123657227,47.99697525473751,-0.1490393877029419,0.0,-422.88344652801754,0.00947968102991581,-1.4991826,-490.95565271377563,-1.5153774,0.2755911350250244,0.013180091977119446,2.5699666,-260.4668960058958
-1.2710323,0.944970614170103,-638.4940869680232,0.005676984786987305,0.034515380859375,1.0813228,1.4971235,4.468816,3.9008043,-3.9008043,-1.526636,10,-6.602635,0.2028866,-0.15731677412986755,0.044031381607055664,26,-1.1995788,-346.03641724586487,8.910960912704468,28.50558036976083,-0.14971235394477844,0.0,-390.0804101511836,0.006464739795774221,-2.281592,-418.8186619281769,-1.5427512,0.2983429431915283,0.007604420185089111,1.476845,-244.70436569765553
-1.2299705,0.9257870628370952,-642.2545744876109,0.00580906867980957,0.03408670425415039,1.0701315,1.4867204,4.422568,4.519662,-4.519662,-1.4753965,10,-7.747226,0.18764462,-0.1568884551525116,0.04375338554382324,27,-1.181707,-386.8797435760498,9.206289529800415,62.53992081245789,-0.14867201447486877,0.0,-451.9662152022123,0.006170178297907114,-2.6751897,-550.1793808937073,-1.5261197,0.2868778705596924,0.008216440677642822,-0.43110928,-280.80059962864505
-1.1798799,0.920401161370188,-598.8240905294011,0.005513429641723633,0.03347921371459961,1.0506994,1.4683948,4.342259,3.989226,-3.989226,-1.4525651,10,-7.6646533,0.2308607,-0.16283740103244781,0.0507354736328125,28,-1.1685671,-327.880601644516,9.51006531715393,49.15708589520148,-0.14683948457241058,0.0,-398.92260864079,0.007533741183578968,-1.1983143,-475.6081551425159,-1.5355986,0.296475887298584,0.01599791646003723,2.4766517,-241.0448184534158
-1.165756,0.972758651999491,-632.0329501155005,0.005856513977050781,0.0327305793762207,1.0248709,1.4435049,4.235515,4.1564684,-4.1564684,-1.4576344,10,-7.6532607,0.21750139,-0.16253729164600372,0.04281282424926758,29,-1.1318004,-360.83881533145905,9.796997308731079,40.325656802349066,-0.14435052871704102,0.0,-415.64681379199027,0.008390677161514759,-1.4986606,-483.57103312015533,-1.4970093,0.27912211418151855,0.018186762928962708,2.3038883,-255.2901312401031
-1.1947308,0.9477909679680034,-618.6221740590888,0.005939960479736328,0.03429079055786133,1.0341644,1.452532,4.2739224,4.00989,-4.00989,-1.4333755,10,-7.4258175,0.20506585,-0.16551078855991364,0.04718494415283203,30,-1.1318054,-329.06623217090964,10.110080242156982,45.238522965628306,-0.1452532410621643,0.0,-400.98901093825697,0.007437203545123339,-1.7009951,-482.5291329026222,-1.4868741,0.30582499504089355,0.02025754749774933,1.1423278,-243.5578220333644
-1.1567181,0.9577701823737075,-627.7284050438972,0.005481243133544922,0.033487796783447266,1.0226095,1.4412959,4.2261686,4.1636705,-4.1636705,-1.4384841,10,-7.3135676,0.19783236,-0.15602049231529236,0.04144287109375,31,-1.1189407,-341.63253593817353,10.403754711151123,52.95384523883805,-0.14412963390350342,0.0,-416.36702842749656,0.008715083822607994,-1.7564856,-476.70873087644577,-1.4884746,0.28272128105163574,0.01189085841178894,1.2550873,-255.94785557555892
-1.127436,0.935259305546857,-614.2909758923292,0.00579524040222168,0.035054922103881836,0.99019706,1.409087,4.0922174,3.9322042,-3.9322042,-1.4216712,10,-7.933008,0.195893,-0.15323004126548767,0.04551839828491211,32,-1.1753712,-357.94163954257965,10.703943490982056,32.943013472855235,-0.14090868830680847,0.0,-393.22042671442034,0.006488366983830929,-2.1216571,-471.91263580322266,-1.5944984,0.29271364212036133,0.0123213529586792,1.5030267,-244.91336155374884
-1.1104641,0.9646599534926547,-598.5920962355806,0.005666017532348633,0.0348200798034668,0.9684171,1.3868464,4.0022087,4.0310245,-4.0310245,-1.3497263,10,-7.4212747,0.16773853,-0.15668095648288727,0.04480242729187012,33,-1.1483049,-327.73042726516724,11.013279914855957,47.04216669254164,-0.13868460059165955,0.0,-403.1024699807167,0.009073162451386452,-2.7877464,-469.76173663139343,-1.5805725,0.3014369010925293,0.017996355891227722,2.2764647,-247.364921496597
