PolicyExecTime,EnvExecTime,ProcessExecTime,OriginalTaskAverageReturn,IRLLoss,IRLRewardMean,IRLRewardMax,IRLRewardMin,Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss,Time,ItrTime
0.2793302536010742,1.0686883926391602,0.026299476623535156,-264.1343213145633,0.41398242,-1.938007,-0.06336892,-5.440719,0,-77.71455553812793,-215.46483060850628,1.0748402168303528e-11,28,2.8378768,17.079464,77.9674245969,-81.78511723876,-433.34267061948776,1.0,2.3359352230301056e-09,-0.011394028551876545,0.0,0.006488732062280178,0.011394030887811768,4.6898512840271,4.689854145050049
0.21226215362548828,0.8775167465209961,0.02115941047668457,-207.346290471734,0.24282198,-2.653995,-0.0074147014,-11.266054,1,-102.75311998952613,-289.9489646923529,0.6239907491617365,28,2.8323705,16.985678,126.03543288368179,-115.75066247582436,-681.4003685712814,0.99728245,1.2158645645854449e-08,-0.009302832186222076,0.0,0.006401048507541418,0.009302844344867722,8.010233163833618,3.3156158924102783
0.24699711799621582,0.795727014541626,0.0203399658203125,-176.72898550281923,0.2172711,-2.9347935,-0.04606162,-12.523349,2,-108.01917223594872,-322.82730247229335,0.7362875072825269,30,2.8395305,17.10773,161.99168979702927,-157.70168590545654,-811.0308433175087,1.0008328,-2.7743253028233994e-08,-0.014652754180133343,0.0,0.009701388888061047,0.014652726436880315,11.466575145721436,3.451462984085083
0.1912236213684082,0.805382251739502,0.02038860321044922,-168.2057999736301,0.17973405,-2.9769046,-0.05673966,-16.282616,3,-114.7494416234791,-318.73408029151375,0.27986827961395655,29,2.8681316,17.604097,154.57403029956467,-135.58018678426743,-739.4130645394325,1.0152423,1.1421824375190681e-08,-0.017449211329221725,0.0,0.006459901574999094,0.0174492227510461,14.813513040542603,3.342367172241211
0.22429704666137695,0.9625034332275391,0.022280454635620117,-123.48793081516945,0.16590804,-3.1965144,-0.033416804,-15.530375,4,-127.60096243589142,-375.5312576783752,0.248105433742146,27,2.8514216,17.312376,155.64826076960955,-160.1087176501751,-732.1719543933868,1.0067962,-4.509808970709628e-09,-0.0124872587621212,0.0,0.006553153041750193,0.01248725425231223,18.329524040222168,3.511578321456909
0.21266555786132812,0.9081969261169434,0.021103858947753906,-158.35785871197828,0.11223204,-4.0342646,-0.07624742,-18.38731,5,-152.08299585397805,-454.97538461205033,0.43732496577875835,27,2.8619885,17.496284,189.73182342565747,-161.18174052238464,-867.5291520357132,1.0121303,1.0805177197426019e-08,-0.012803678400814533,0.0,0.009409688413143158,0.01280368920599173,21.649172067642212,3.3149280548095703
0.20242619514465332,0.8702535629272461,0.02029871940612793,-143.47487777570976,0.09273397,-5.3146787,-0.2721199,-18.420673,6,-193.42234895070612,-614.2541760767882,-0.10068271695610309,26,2.9182277,18.508455,271.3897056975194,-208.40585958957672,-1219.6316921710968,1.0410292,1.428131279901379e-09,-0.012834243476390839,0.0,0.009827615693211555,0.012834244904522119,24.858334064483643,3.204926013946533
0.20454192161560059,0.8729076385498047,0.020167112350463867,-120.43661013021443,0.10903342,-4.66957,-0.13755602,-18.42056,7,-173.3985877540026,-562.776537065506,-0.37184674944000684,25,2.925032,18.63482,244.12200728234205,-149.2396507114172,-1157.7655631899834,1.0447105,-1.3669700926755013e-08,-0.015351580455899239,0.0,0.009669719263911247,0.015351566786198312,28.155256271362305,3.2928268909454346
0.2561626434326172,0.9365825653076172,0.020534276962280273,-118.2692841074383,0.11895429,-5.0552144,-0.004942212,-18.420681,8,-188.5824270382682,-616.1295679611154,0.10979834286469636,25,2.9165246,18.476961,291.3178945538555,-262.7612144201994,-1315.283201932907,1.0406051,-5.6337832177177916e-09,-0.016800858080387115,0.0,0.009931799955666065,0.016800852446603898,31.548566102981567,3.3891761302948
0.2741529941558838,0.9791762828826904,0.021870851516723633,-134.03322402464437,0.092111245,-5.810421,-0.015145333,-18.42043,9,-220.38742995312353,-715.146581887044,0.34826745552070815,25,2.913885,18.428255,346.20676552283413,-311.0065305829048,-1405.2612850666046,1.0394349,1.239745639480816e-09,-0.01776844449341297,0.0,0.009545565582811832,0.01776844573315861,34.99259400367737,3.439527988433838
0.2538909912109375,0.899918794631958,0.020664215087890625,-95.38520152229201,0.08600827,-6.0581336,-0.13090916,-18.420681,10,-229.9815300144946,-693.3196921033991,0.21020822363091451,27,2.9492555,19.091734,307.37921953700317,-282.15906469523907,-1363.1971497535706,1.0575203,-8.024444220211535e-09,-0.017353521659970284,0.0,0.009823344647884369,0.017353513635526063,38.35881304740906,3.3616268634796143
0.20487070083618164,0.9055535793304443,0.021645545959472656,-108.88285675783507,0.07869886,-5.697923,-0.10041343,-18.419687,11,-212.12732820800065,-666.2349746712932,0.24206307617955125,27,2.9584575,19.268227,308.8693217319416,-363.0657483935356,-1391.684493869543,1.0627002,-3.3984275393805774e-09,-0.016103394329547882,0.0,0.007069976069033146,0.016103390931120343,41.80941915512085,3.446007013320923
0.2186133861541748,0.9909276962280273,0.021441221237182617,-79.43206597505835,0.07422954,-6.083662,-0.095977366,-18.420681,12,-257.03014938900884,-780.2296827739725,0.07899211072388079,24,2.9549937,19.201603,290.031465763196,-400.9603766724467,-1470.1168603897095,1.0605721,4.492617833307122e-09,-0.01801721379160881,0.0,0.009871524758636951,0.018017218284226644,45.24435114860535,3.4298360347747803
