MaxReturn,IRLLoss,MeanKLBefore,AverageDiscountedReturn,AverageReturn,dLoss,PolicyExecTime,LossBefore,ProcessExecTime,ExplainedVariance,LossAfter,Perplexity,EnvExecTime,Iteration,IRLRewardMin,MinReturn,Time,IRLRewardMax,Entropy,StdReturn,NumTrajs,IRLRewardMean,OriginalTaskAverageReturn,MeanKL,AveragePolicyStd,ItrTime
-129.49189639091492,0.5234148,0.0,-119.73819579793451,-199.97863701283933,0.009493678852915854,0.05120110511779785,1.907348723406699e-09,0.005123138427734375,6.463163337855349e-12,-0.009493676945567131,4.1327305,0.031517744064331055,0,-3.433443,-235.32861840724945,0.9567055702209473,-0.45669225,1.4189383,37.134894302621674,10,-1.9997864,-672.9773821018701,0.00712005328387022,1.0,0.9567108154296875
-121.98641121387482,0.3664942,0.0,-149.6914013664573,-251.2650255382061,0.010113954573869322,0.041806936264038086,1.120567283408036e-08,0.006905555725097656,0.8375639710698102,-0.010113943368196487,4.2031317,0.03290557861328125,1,-4.797523,-327.6699405312538,1.1576192378997803,-0.22783625,1.4358299,56.65135775920876,10,-2.5126505,-670.4266441761744,0.007176558952778578,1.0170348,0.19623970985412598
-140.77760916948318,0.29247096,0.0,-158.45554159453073,-260.9344423577189,0.012598196581006249,0.04319500923156738,-6.9141385949933465e-09,0.005490779876708984,0.9139929055355284,-0.012598203495144844,4.148633,0.031899452209472656,2,-5.1531253,-348.357476785779,1.3584692478179932,-0.12924409,1.4227788,72.3426507652302,10,-2.6093442,-669.0511051481328,0.005196547135710716,1.0038472,0.18169903755187988
-140.34109833836555,0.2515338,0.0,-165.37443933925965,-272.91312517523767,0.011843988865613886,0.04528975486755371,-1.6689301052252858e-09,0.00580286979675293,0.8648787254778518,-0.011843990534543991,4.206896,0.033969879150390625,3,-5.026433,-335.3378261849284,1.546800136566162,-0.08327178,1.436725,65.07423900964966,10,-2.7291312,-670.4873012088945,0.008963584899902344,1.0179454,0.1814126968383789
-182.66563579440117,0.26613128,0.0,-154.1038426238569,-258.32918283343315,0.019652783766388904,0.045049428939819336,5.4836273299940785e-09,0.005747318267822266,0.9473938488448919,-0.019652778282761574,4.332136,0.035804033279418945,4,-4.58131,-312.5183247625828,1.7421681880950928,-0.063578315,1.4660608,42.72647677646123,10,-2.583292,-646.588333409524,0.00628530140966177,1.0482502,0.18657469749450684
-197.54641462862492,0.21461543,0.0,-174.09369186327723,-283.7554368978366,0.006250762861222059,0.0461883544921875,-1.8477439578390431e-09,0.00574946403503418,0.7960358232013964,-0.006250764708966017,4.3401394,0.03486967086791992,5,-5.2683434,-337.8519011437893,1.9418973922729492,-0.029785013,1.4679065,52.572140225177634,10,-2.8375542,-660.1030877762533,0.006259615067392588,1.0501864,0.19217419624328613
-135.74357414245605,0.2302342,0.0,-141.31279172065925,-232.78821101933718,0.023142753556370632,0.04179549217224121,-3.3378602104505717e-09,0.005690574645996094,0.8720800507274351,-0.023142756894230843,4.365733,0.034189701080322266,6,-4.9349914,-289.62402279675007,2.1321213245391846,-0.048316255,1.4737861,49.710461842785904,10,-2.327882,-647.2817754655193,0.008750933222472668,1.0563796,0.1820669174194336
-140.07509941980243,0.27129146,0.0,-134.5482412000312,-223.90296432934701,0.009453469887375832,0.0413970947265625,7.450580596923828e-09,0.005579710006713867,0.8518945055375619,-0.009453462436795235,4.510303,0.03473472595214844,7,-4.7297688,-271.7583451643586,2.31619930267334,-0.043230772,1.5063643,42.78961142940333,10,-2.23903,-584.8853522716977,0.00734300259500742,1.091361,0.17722487449645996
-157.42284852266312,0.23287159,0.0,-153.12244705119826,-249.62068155780435,0.01893375225365146,0.0431826114654541,7.1525572131747595e-09,0.005676746368408203,0.9195309028906142,-0.018933745101094246,4.566638,0.03458237648010254,8,-5.0442944,-306.46174758672714,2.5158252716064453,-0.05030624,1.5187773,53.20354607783001,10,-2.4962068,-614.1467789323262,0.009633651934564114,1.1049926,0.19249272346496582
-163.4823701865971,0.20939155,0.0,-152.3988811486783,-242.58826867230238,0.024257783100008812,0.04257631301879883,5.841255035221593e-09,0.006058931350708008,0.7547371925766715,-0.024257777258753777,4.6271634,0.03429889678955078,9,-5.523106,-329.22099763154984,2.7040951251983643,-0.03881703,1.531944,53.0178799584396,10,-2.4258828,-645.9397295823308,0.007219532039016485,1.1196383,0.181840181350708
-183.94339103996754,0.21507487,0.0,-140.750759902859,-228.1247934198007,0.019466690659523778,0.04838418960571289,-1.4960765071236892e-08,0.006182670593261719,0.8708251927227331,-0.01946670562028885,4.767622,0.03150033950805664,10,-4.98028,-298.7065277695656,2.9171183109283447,-0.022356125,1.5618477,35.20332439245064,10,-2.281248,-589.2810546362294,0.00894931796938181,1.1536252,0.19520998001098633
-215.0789773464203,0.19726628,0.0,-157.8400833333897,-254.84950781166555,0.019799753978848367,0.043654441833496094,-1.907348723406699e-09,0.0055277347564697266,0.9028792170960824,-0.01979975588619709,4.8200765,0.03229522705078125,11,-5.4383907,-306.2148688137531,3.1096677780151367,-0.0735583,1.5727898,31.4412259235064,10,-2.548495,-583.0328767610853,0.009811611846089363,1.1663171,0.1824185848236084
-144.00056501850486,0.22576657,0.0,-150.80902249918356,-238.3562130779028,0.016637805759906588,0.04086613655090332,-3.814697446813398e-09,0.005517482757568359,0.6090680307987426,-0.016637809574604034,4.84672,0.03409385681152344,12,-4.2540526,-315.91199946403503,3.2997004985809326,-0.031256847,1.5783023,53.264255741462044,10,-2.383562,-607.6607203603405,0.006577073130756617,1.1727642,0.18001770973205566
