AbsLearnSignal,ItrTime,Time,MeanKL,Entropy,Iteration,LossAfter,NumTrajs,MaxReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,MinReturn,AverageReturn,LossBefore,PolicyExecTime,dLoss,StdReturn,Perplexity,AverageDiscountedReturn,ExplainedVariance,MeanKLBefore
0.8791328526,37.9084982872,624.0105748177,0.0092255175,2.8892453,19,-0.057220835,2,-243.5285752479,0.003057003,32.7188241482,1.0260949,-809.7738534406,-526.6512143443,2.0148049E-08,0.1401336193,0.057220854,283.1226390963,17.979734,-372.2629703258,0.050398938,0
0.8446385529,31.8356087208,655.8884618282,0.0067146686,2.8888438,20,-0.07551118,2,-322.9210234777,0.0023393631,26.7149682045,1.0259446,-341.4341986827,-332.1776110802,2.7509836E-08,0.1117987633,0.07551121,9.2565876025,17.972517,-267.1549070708,0.5627168581,0
0.7675812888,39.4289138317,695.3589551449,0.007713438,2.8946052,21,-0.016213162,2,-467.0138231226,0.0034584999,34.1933801174,1.0289035,-502.2207333343,-484.6172782285,-2.4932662E-08,0.1538646221,0.016213138,17.6034551058,18.076363,-367.6435199479,-2.802990184,0
0.8382724027,25.9134509563,721.3134117126,0.009852725,2.8828363,22,-0.03565465,1,-617.6892683654,0.0022528172,20.8332798481,1.0228783,-617.6892683654,-617.6892683654,4.2915346E-08,0.1076118946,0.035654694,0,17.864872,-413.0594832493,0.9040561726,0
0.9102325738,38.5030269623,759.8594338894,0.009999952,2.8903902,23,-0.08264774,2,-298.4873377265,0.0031206608,33.2771642208,1.0268729,-847.8425571613,-573.1649474439,1.9731193E-08,0.152690649,0.08264776,274.6776097174,18.000332,-396.7687478739,0.062931815,0
0.8607675317,31.7926380634,791.6937820911,0.00871008,2.9144444,24,-0.060343206,2,-300.0057449185,0.0023398399,26.7094507217,1.0407833,-452.1660042687,-376.0858745936,-5.4495676E-08,0.1093993187,0.06034315,76.0801296751,18.438566,-295.0331035294,-18.6892112963,0
0.7597894382,43.0662915707,834.8009543419,0.0064123445,2.9344294,25,-0.057352107,3,-247.7914111701,0.0033009052,37.8967585564,1.052036,-436.4972643345,-319.029061997,3.40598E-08,0.1516225338,0.05735214,83.6876043165,18.810766,-262.280178849,0.257759709,0
0.8744779719,32.1936428547,867.0377428532,0.008544556,2.9250147,26,-0.06274425,2,-382.1675658833,0.0024354458,27.0641896725,1.0464008,-424.7728871724,-403.4702265278,3.633045E-08,0.1163964272,0.06274429,21.3026606445,18.6345,-318.7941321513,0.8320376794,0
0.7837709099,26.1653609276,893.2442436218,0.007761882,2.941512,27,-0.039466057,1,-474.5178981835,0.0022568703,21.0531904697,1.0557475,-474.5178981835,-474.5178981835,1.9073486E-08,0.0966331959,0.039466076,0,18.944471,-327.0294874656,-2.4792911611,0
0.7853565579,31.8133499622,925.099145174,0.0069595356,2.923406,28,-0.07453744,2,-378.6961309686,0.0024609566,26.5441613197,1.0460058,-445.2972879543,-411.9967094615,-9.169946E-09,0.1065092087,0.07453743,33.3005784928,18.604544,-329.2969483753,0.8309088319,0
