PolicyExecTime,EnvExecTime,ProcessExecTime,Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss,Time,ItrTime
0.35710906982421875,0.09429645538330078,0.02120518684387207,0,-617.9762231707766,-1494.2606932205526,2.957634137601417e-13,10,1.4189383,4.1327305,217.3449866398994,-1146.274047669781,-1782.5524214832005,1.0,4.768371808516747e-10,-0.008968831971287727,0.0,0.008126340806484222,0.008968832448124908,1.3861110210418701,1.3861160278320312
0.34625864028930664,0.10245466232299805,0.021999359130859375,1,-595.5782870929316,-1415.1774331816816,0.9700303276283604,10,1.4653896,4.32923,253.73823787623613,-997.3534200302719,-1903.4190402269478,1.0475472,3.218650901359865e-09,-0.016656534746289253,0.0,0.008068989031016827,0.016656537964940155,1.9369091987609863,0.5465006828308105
0.3473167419433594,0.10156106948852539,0.02171921730041504,2,-528.2410925940457,-1228.7725268478466,0.8636607403399283,10,1.4569585,4.292883,243.48006031245856,-868.2200542818633,-1691.1696750409762,1.0387517,-8.583068478174027e-09,-0.012759107165038586,0.0,0.009186712093651295,0.012759098581970107,2.4982211589813232,0.5575969219207764
0.3829002380371094,0.1127777099609375,0.02583909034729004,3,-554.1210391830462,-1263.8888388583005,0.9186222403056393,10,1.4701431,4.3498573,320.38336903442723,-842.8531404253728,-1662.3499542051334,1.0525382,5.2452087118126656e-09,-0.012259526178240776,0.0,0.0068708439357578754,0.012259531423449488,3.098785161972046,0.5970211029052734
0.3298494815826416,0.09228706359863281,0.021101951599121094,4,-462.6636184895685,-1073.3280523367957,0.9007384817896534,10,1.4492792,4.2600427,218.95404697126497,-786.1351396841436,-1485.962580393823,1.0308056,-3.5762786065873797e-09,-0.012294107116758823,0.0,0.006153562571853399,0.012294103540480217,3.619079113006592,0.5170941352844238
0.3407464027404785,0.09968161582946777,0.0226285457611084,5,-490.47761612046753,-1082.1969171993544,0.9535055646668,10,1.4481465,4.25522,165.88239816665936,-880.5706643942045,-1437.6628820150183,1.0296384,2.1189451970826667e-08,-0.009761091321706772,0.0,0.007651032414287329,0.009761112511158743,4.161610126495361,0.5390501022338867
0.3353879451751709,0.09534239768981934,0.0207979679107666,6,-468.26664239690615,-1039.499889285272,0.8917875280187226,10,1.4702514,4.350329,144.69572153560907,-872.8447504542896,-1389.5770062989536,1.0526525,3.755092681245742e-09,-0.014775840565562248,0.0,0.00813449639827013,0.01477584432065493,4.688658237457275,0.5231940746307373
0.3399693965911865,0.09660482406616211,0.02309703826904297,7,-502.71121261665866,-1069.9107697671684,0.9296172179959363,10,1.46678,4.335253,145.07367143364078,-856.4385057817819,-1284.9652876719776,1.0490044,1.317262654509932e-08,-0.014337372966110706,0.0,0.00886560883373022,0.014337386138737251,5.232497215270996,0.5403110980987549
0.33395957946777344,0.10010147094726562,0.02135181427001953,8,-491.0524832569751,-1061.5810011956048,0.9156830753456734,10,1.480095,4.393363,133.5148167114035,-902.3596082574392,-1282.7891931938875,1.0630653,-3.153085614826523e-08,-0.011822620406746864,0.0,0.007939497008919716,0.011822588875890716,5.76477313041687,0.5283849239349365
0.325319766998291,0.09013843536376953,0.02033066749572754,9,-437.20710730190274,-965.7926369301422,0.8591272941963041,10,1.4748664,4.370452,114.34755710816363,-835.8793463214344,-1216.1475251781821,1.057521,1.7881393032936899e-09,-0.008058136329054832,0.0,0.005527395289391279,0.008058138117194136,6.275960206985474,0.5076479911804199
0.3349342346191406,0.09325003623962402,0.020194292068481445,10,-453.0931386148119,-988.7103850656922,0.9244655451644398,10,1.4601266,4.3065047,75.23041698012955,-881.4420310614286,-1109.2397988304378,1.0420476,1.555681272691345e-08,-0.008718397468328476,0.0,0.006669321097433567,0.008718413025141203,6.800613164901733,0.5198521614074707
0.3148505687713623,0.09446573257446289,0.019719839096069336,11,-489.786893221048,-1045.767742854273,0.9074396471413395,10,1.4744514,4.3686385,66.04335473544786,-916.8126398173816,-1157.8038284412366,1.0570829,-2.6822091214739885e-09,-0.013688442297279835,0.0,0.008097385987639427,0.013688439615070713,7.301728963851929,0.49762988090515137
0.32218432426452637,0.09131836891174316,0.022011995315551758,12,-453.3777859703244,-985.5329867121902,0.8773704577268199,10,1.4892329,4.433693,125.58327787560137,-727.1873472543025,-1192.1289529198125,1.0728242,-1.2159347306806012e-08,-0.00405116518959403,0.0,0.00838916189968586,0.004051153030246724,7.810277223587036,0.5049688816070557
0.320817232131958,0.0926203727722168,0.020560264587402344,13,-430.11518920539766,-1010.5689092785794,0.8833591537517542,10,1.4672948,4.3374853,91.31785930624024,-836.48097114926,-1156.6839191031681,1.0495445,7.152557435219364e-10,-0.013402882032096386,0.0,0.007339126896113157,0.01340288274735213,8.323328018188477,0.5093629360198975
0.3234572410583496,0.09007906913757324,0.0205843448638916,14,-423.8871240122736,-910.9078428240366,0.8637992749058689,10,1.4775872,4.382359,125.89895764531241,-762.0665354252886,-1244.3254245988455,1.0604029,-2.086162576020456e-09,-0.018787356093525887,0.0,0.009312715381383896,0.01878735400736331,8.8312509059906,0.5045640468597412
0.33348584175109863,0.09247088432312012,0.022510290145874023,15,-414.1526874550109,-891.0237472871744,0.9100823264649702,10,1.4874369,4.4257374,106.29669269979722,-756.0972333406316,-1131.59010487862,1.0708991,-1.204013866384912e-08,-0.010831552557647228,0.0,0.007445916999131441,0.010831540517508564,9.368417024612427,0.5322401523590088
